@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,0,0,0,0,0,0.658537,0.7,0,0,0,0,0,0,0,0.369565,0.391304,0,0,0,0
L2.MC,0,0,0,0,0,0.634146,0.65,0,0,0,0,0,0,0,0.369565,0.391304,0,0,0,0
L2.MC,0,0,0,0,0,0.658537,0.675,0,0,0,0,0,0,0,0.26087,0.26087,0,0,0,0
L2.MC,0,0,0,0,0,0.756098,0.775,0,0,0,0,0,0,0,0.369565,0.347826,0,0,0,0
L2.MC,0,0,0,0,0,0.560976,0.55,0,0,0,0,0,0,0,0.369565,0.369565,0,0,0,0
L2.MC,0,0,0,0,0,0.707317,0.7,0,0,0,0,0,0,0,0.23913,0.26087,0,0,0,0
L2.MC,0,0,0,0,0,0.414634,0.35,0,0,0,0,0,0,0,0.282609,0.26087,0,0,0,0
L2.MC,0,0,0,0,0,0.560976,0.575,0,0,0,0,0,0,0,0.195652,0.391304,0,0,0,0
L2.MC,0,0,0,0,0,0.658537,0.65,0,0,0,0,0,0,0,0.391304,0,0,0,0,0
L2.MC,0,0,0,0,0,0.707317,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.390244,0.4,0,0,0,0,0,0,0,0.347826,0.217391,0,0,0,0
L2.MC,0,0,0,0,0,0.731707,0.75,0,0,0,0,0,0,0,0.478261,0.456522,0,0,0,0
L2.MC,0,0,0,0,0,0.707317,0.725,0,0,0,0,0,0,0,0.456522,0.434783,0,0,0,0
L2.MC,0,0,0,0,0,0.731707,0.75,0,0,0,0,0,0,0,0.326087,0.434783,0,0,0,0
