@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,0,0,0,0,0,65.853659,70,0,0,0,0,0,0,0,36.956522,39.130435,0,0,0,0
L2.MC,0,0,0,0,0,63.414634,65,0,0,0,0,0,0,0,36.956522,39.130435,0,0,0,0
L2.MC,0,0,0,0,0,65.853659,67.5,0,0,0,0,0,0,0,26.086957,26.086957,0,0,0,0
L2.MC,0,0,0,0,0,75.609756,77.5,0,0,0,0,0,0,0,36.956522,34.782609,0,0,0,0
L2.MC,0,0,0,0,0,56.097561,55,0,0,0,0,0,0,0,36.956522,36.956522,0,0,0,0
L2.MC,0,0,0,0,0,70.731707,70,0,0,0,0,0,0,0,23.913043,26.086957,0,0,0,0
L2.MC,0,0,0,0,0,41.463415,35,0,0,0,0,0,0,0,28.26087,26.086957,0,0,0,0
L2.MC,0,0,0,0,0,56.097561,57.5,0,0,0,0,0,0,0,19.565217,39.130435,0,0,0,0
L2.MC,0,0,0,0,0,65.853659,65,0,0,0,0,0,0,0,39.130435,0,0,0,0,0
L2.MC,0,0,0,0,0,70.731707,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,39.02439,40,0,0,0,0,0,0,0,34.782609,21.73913,0,0,0,0
L2.MC,0,0,0,0,0,73.170732,75,0,0,0,0,0,0,0,47.826087,45.652174,0,0,0,0
L2.MC,0,0,0,0,0,70.731707,72.5,0,0,0,0,0,0,0,45.652174,43.478261,0,0,0,0
L2.MC,0,0,0,0,0,73.170732,75,0,0,0,0,0,0,0,32.608696,43.478261,0,0,0,0
L2.MC,0,0,0,0,0,92.682927,92.5,0,0,0,0,0,0,0,39.130435,39.130435,0,0,0,0
L2.MC,0,0,0,0,0,65.853659,72.5,0,0,0,0,0,0,0,36.956522,39.130435,0,0,0,0
L2.MC,0,0,0,0,0,80.487805,82.5,0,0,0,0,0,0,0,39.130435,41.304348,0,0,0,0
L2.MC,0,0,0,0,0,63.414634,70,0,0,0,0,0,0,0,34.782609,34.782609,0,0,0,0
L2.MC,0,0,0,0,0,90.243902,92.5,0,0,0,0,0,0,0,52.173913,52.173913,0,0,0,0
L2.MC,0,0,0,0,0,95.121951,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,58.536585,57.5,0,0,0,0,0,0,0,28.26087,28.26087,0,0,0,0
L2.MC,0,0,0,0,0,75.609756,80,0,0,0,0,0,0,0,39.130435,41.304348,0,0,0,0
L2.MC,0,0,0,0,0,65.853659,70,0,0,0,0,0,0,0,26.086957,26.086957,0,0,0,0
L2.MC,0,0,0,0,0,63.414634,65,0,0,0,0,0,0,0,41.304348,43.478261,0,0,0,0
L2.MC,0,0,0,0,0,90.243902,87.5,0,0,0,0,0,0,0,45.652174,45.652174,0,0,0,0
L2.MC,0,0,0,0,0,87.804878,90,0,0,0,0,0,0,0,26.086957,28.26087,0,0,0,0
L2.MC,0,0,0,0,0,80.487805,80,0,0,0,0,0,0,0,36.956522,34.782609,0,0,0,0
L2.MC,0,0,0,0,0,82.926829,85,0,0,0,0,0,0,0,28.26087,30.434783,0,0,0,0
L2.MC,0,0,0,0,0,75.609756,77.5,0,0,0,0,0,0,0,28.26087,30.434783,0,0,0,0
L2.MC,0,0,0,0,0,80.487805,82.5,0,0,0,0,0,0,0,21.73913,21.73913,0,0,0,0
L2.MC,0,0,0,0,0,70.731707,75,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,92.682927,92.5,0,0,0,0,0,0,0,34.782609,36.956522,0,0,0,0
L2.MC,0,0,0,0,0,73.170732,72.5,0,0,0,0,0,0,0,26.086957,28.26087,0,0,0,0
