@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
'MP 12',0,0.555556,0,0.5,0.230769,0.26087,0.380952,0,0,0.636364,0.777778,0,0,0,0.617647,0.434783,0,0,0,0
'MP 12',0,0.555556,0,0.5,0.230769,0.26087,0.380952,0,0,0.636364,0.777778,0,0,0,0.617647,0.434783,0,0,0,0
'MP 12',0,0,0,0.5,0.230769,0.26087,0.380952,0,0,0.636364,0.777778,0,0,0,0.617647,0.434783,0,0,0,0
'MP 12',0,0,0,0.5,0.230769,0.782609,0.857143,0,0,0.636364,0.777778,0,0,0,0.588235,0.586957,0,0,0,0
'MP 12',0,0,0,0.5,0.230769,0.782609,0.857143,0,0,0.636364,0.777778,0,0,0,0.588235,0.586957,0,0,0,0
'MP 12',0,0,0,0.2,0,0.782609,0.857143,0,0,0,0,0,0,0,0.529412,0.586957,0,0,0,0
'MP 12',0,0,0,0.2,0,0.782609,0.857143,0,0,0,0,0,0,0,0.558824,0.586957,0,0,0,0
'MP 12',0,0,0,0.2,0,0.782609,0.857143,0,0,0,0,0,0,0,0.558824,0.586957,0,0,0,0
'MP 12',0,0,0,0.2,0,1,0.857143,0,0,0,0,0,0,0,0.558824,0.586957,0,0,0,0
'MP 12',0,0,0,0.2,0,1,0.857143,0,0,0,0,0,0,0,0.5,0.608696,0,0,0,0
'MP 13',0,0.555556,0.888889,0.4,0.230769,1,0.857143,0,0,0.636364,0.777778,0,0,0,0.705882,0.608696,0,0,0,0
'MP 13',0,0.555556,0.888889,0.4,0.230769,1,0.714286,0,0,0.818182,0.777778,0,0,0,0.705882,0.608696,0,0,0,0
'MP 13',0,0.555556,0.888889,0.4,0.230769,1,0.714286,0,0,0.818182,0.777778,0,0,0,0.647059,0.608696,0,0,0,0
'MP 13',0,0.555556,0.888889,0.4,0.230769,1,0.714286,0,0,0.818182,0.777778,0,0,0,0.647059,0.565217,0,0,0,0
'MP 13',0,0,0.888889,0.4,0,0.565217,0.714286,0,0,0,1,0,0,0,0.647059,0.565217,0,0,0,0
'MP 13',0,0,0.888889,0.4,0,0,0.714286,0,0,0,1,0,0,0,0.647059,0.521739,0,0,0,0
'MP 13',0,0,0.888889,0,0,0,0.714286,0,0,0,1,0,0,0,0.647059,0.521739,0,0,0,0
'MP 13',0,0,0,0,0,0,0.619048,0,0,0,0,0,0,0,0.647059,0.521739,0,0,0,0
'MP 13',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676471,0.521739,0,0,0,0
'MP 13',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676471,0.717391,0,0,0,0
'MP 14',0,0.888889,0.888889,0.366667,0.5,0.608696,0.619048,0,0,0.818182,1,0,0,0,0.558824,0.717391,0,0,0,0
'MP 14',0,0.888889,0.888889,0.366667,0.5,0.608696,0.619048,0,0,0.818182,1,0,0,0,0.470588,0.717391,0,0,0,0
'MP 14',0,0.888889,0.888889,0.366667,0.5,0.608696,0.619048,0,0,0.818182,1,0,0,0,0.5,0.717391,0,0,0,0
'MP 14',0,0.888889,0.888889,0.366667,0.5,0.869565,0.904762,0,0,0.545455,1,0,0,0,0.529412,0.565217,0,0,0,0
'MP 14',0,0.888889,0.888889,0.366667,0.5,0.869565,0.904762,0,0,0.636364,1,0,0,0,0.529412,0.565217,0,0,0,0
