@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
PL1.MC,-200,-95,-200,-85,-94,-94,-92,-200,-200,-93,-93,-200,-200,-200,-71,-80,-200,-200,-200,-200
PL1.MC,-200,-95,-200,-85,-94,-94,-92,-200,-200,-93,-93,-200,-200,-200,-71,-80,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-85,-94,-94,-92,-200,-200,-93,-93,-200,-200,-200,-71,-80,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-85,-94,-82,-82,-200,-200,-93,-93,-200,-200,-200,-72,-73,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-85,-94,-82,-82,-200,-200,-93,-93,-200,-200,-200,-72,-73,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-94,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-74,-73,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-94,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-73,-73,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-94,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-73,-73,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-94,-200,-77,-82,-200,-200,-200,-200,-200,-200,-200,-73,-73,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-94,-200,-77,-82,-200,-200,-200,-200,-200,-200,-200,-75,-72,-200,-200,-200,-200
PL1.MC,-200,-95,-92,-88,-94,-77,-82,-200,-200,-93,-93,-200,-200,-200,-68,-72,-200,-200,-200,-200
PL1.MC,-200,-95,-92,-88,-94,-77,-85,-200,-200,-91,-93,-200,-200,-200,-68,-72,-200,-200,-200,-200
PL1.MC,-200,-95,-92,-88,-94,-77,-85,-200,-200,-91,-93,-200,-200,-200,-70,-72,-200,-200,-200,-200
PL1.MC,-200,-95,-92,-88,-94,-77,-85,-200,-200,-91,-93,-200,-200,-200,-70,-74,-200,-200,-200,-200
PL1.MC,-200,-200,-92,-88,-200,-87,-85,-200,-200,-200,-91,-200,-200,-200,-70,-74,-200,-200,-200,-200
PL1.MC,-200,-200,-92,-88,-200,-200,-85,-200,-200,-200,-91,-200,-200,-200,-70,-76,-200,-200,-200,-200
PL1.MC,-200,-200,-92,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-200,-70,-76,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-70,-76,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-76,-200,-200,-200,-200
PL1.MC,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-67,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-89,-87,-86,-87,-200,-200,-91,-91,-200,-200,-200,-73,-67,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-89,-87,-86,-87,-200,-200,-91,-91,-200,-200,-200,-76,-67,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-89,-87,-86,-87,-200,-200,-91,-91,-200,-200,-200,-75,-67,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-89,-87,-80,-81,-200,-200,-94,-91,-200,-200,-200,-74,-74,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-89,-87,-80,-81,-200,-200,-93,-91,-200,-200,-200,-74,-74,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-87,-200,-80,-81,-200,-200,-93,-91,-200,-200,-200,-74,-74,-200,-200,-200,-200
PL1.MC,-200,-200,-92,-87,-200,-80,-81,-200,-200,-93,-200,-200,-200,-200,-74,-74,-200,-200,-200,-200
PL1.MC,-200,-200,-92,-87,-200,-80,-81,-200,-200,-93,-200,-200,-200,-200,-73,-71,-200,-200,-200,-200
