@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
PL1.MC,0,55.555556,0,50,23.076923,26.086957,38.095238,0,0,63.636364,77.777778,0,0,0,61.764706,43.478261,0,0,0,0
PL1.MC,0,55.555556,0,50,23.076923,26.086957,38.095238,0,0,63.636364,77.777778,0,0,0,61.764706,43.478261,0,0,0,0
PL1.MC,0,0,0,50,23.076923,26.086957,38.095238,0,0,63.636364,77.777778,0,0,0,61.764706,43.478261,0,0,0,0
PL1.MC,0,0,0,50,23.076923,78.26087,85.714286,0,0,63.636364,77.777778,0,0,0,58.823529,58.695652,0,0,0,0
PL1.MC,0,0,0,50,23.076923,78.26087,85.714286,0,0,63.636364,77.777778,0,0,0,58.823529,58.695652,0,0,0,0
PL1.MC,0,0,0,20,0,78.26087,85.714286,0,0,0,0,0,0,0,52.941176,58.695652,0,0,0,0
PL1.MC,0,0,0,20,0,78.26087,85.714286,0,0,0,0,0,0,0,55.882353,58.695652,0,0,0,0
PL1.MC,0,0,0,20,0,78.26087,85.714286,0,0,0,0,0,0,0,55.882353,58.695652,0,0,0,0
PL1.MC,0,0,0,20,0,100,85.714286,0,0,0,0,0,0,0,55.882353,58.695652,0,0,0,0
PL1.MC,0,0,0,20,0,100,85.714286,0,0,0,0,0,0,0,50,60.869565,0,0,0,0
PL1.MC,0,55.555556,88.888889,40,23.076923,100,85.714286,0,0,63.636364,77.777778,0,0,0,70.588235,60.869565,0,0,0,0
PL1.MC,0,55.555556,88.888889,40,23.076923,100,71.428571,0,0,81.818182,77.777778,0,0,0,70.588235,60.869565,0,0,0,0
PL1.MC,0,55.555556,88.888889,40,23.076923,100,71.428571,0,0,81.818182,77.777778,0,0,0,64.705882,60.869565,0,0,0,0
PL1.MC,0,55.555556,88.888889,40,23.076923,100,71.428571,0,0,81.818182,77.777778,0,0,0,64.705882,56.521739,0,0,0,0
PL1.MC,0,0,88.888889,40,0,56.521739,71.428571,0,0,0,100,0,0,0,64.705882,56.521739,0,0,0,0
PL1.MC,0,0,88.888889,40,0,0,71.428571,0,0,0,100,0,0,0,64.705882,52.173913,0,0,0,0
PL1.MC,0,0,88.888889,0,0,0,71.428571,0,0,0,100,0,0,0,64.705882,52.173913,0,0,0,0
PL1.MC,0,0,0,0,0,0,61.904762,0,0,0,0,0,0,0,64.705882,52.173913,0,0,0,0
PL1.MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.647059,52.173913,0,0,0,0
PL1.MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.647059,71.73913,0,0,0,0
PL1.MC,0,88.888889,88.888889,36.666667,50,60.869565,61.904762,0,0,81.818182,100,0,0,0,55.882353,71.73913,0,0,0,0
PL1.MC,0,88.888889,88.888889,36.666667,50,60.869565,61.904762,0,0,81.818182,100,0,0,0,47.058824,71.73913,0,0,0,0
PL1.MC,0,88.888889,88.888889,36.666667,50,60.869565,61.904762,0,0,81.818182,100,0,0,0,50,71.73913,0,0,0,0
PL1.MC,0,88.888889,88.888889,36.666667,50,86.956522,90.47619,0,0,54.545455,100,0,0,0,52.941176,56.521739,0,0,0,0
PL1.MC,0,88.888889,88.888889,36.666667,50,86.956522,90.47619,0,0,63.636364,100,0,0,0,52.941176,56.521739,0,0,0,0
PL1.MC,0,88.888889,88.888889,43.333333,0,86.956522,90.47619,0,0,63.636364,100,0,0,0,52.941176,56.521739,0,0,0,0
PL1.MC,0,0,88.888889,43.333333,0,86.956522,90.47619,0,0,63.636364,0,0,0,0,52.941176,56.521739,0,0,0,0
PL1.MC,0,0,88.888889,43.333333,0,86.956522,90.47619,0,0,63.636364,0,0,0,0,55.882353,63.043478,0,0,0,0
PL1.MC,0,0,88.888889,43.333333,0,47.826087,90.47619,0,0,0,0,0,0,0,55.882353,63.043478,0,0,0,0
PL1.MC,0,0,0,43.333333,0,47.826087,90.47619,0,0,0,0,0,0,0,55.882353,63.043478,0,0,0,0
PL1.MC,0,66.666667,88.888889,43.333333,50,43.478261,90.47619,0,0,63.636364,0,0,0,0,47.058824,63.043478,0,0,0,0
PL1.MC,0,66.666667,77.777778,53.333333,50,56.521739,61.904762,0,0,63.636364,0,0,0,0,47.058824,36.956522,0,0,0,0
PL1.MC,0,66.666667,77.777778,53.333333,50,60.869565,61.904762,0,0,100,0,0,0,0,47.058824,36.956522,0,0,0,0
PL1.MC,0,66.666667,77.777778,53.333333,65.384615,60.869565,61.904762,0,0,100,0,0,0,0,47.058824,36.956522,0,0,0,0
PL1.MC,0,66.666667,77.777778,53.333333,65.384615,60.869565,61.904762,0,0,100,0,0,0,0,47.058824,36.956522,0,0,0,0
PL1.MC,0,66.666667,77.777778,53.333333,65.384615,60.869565,61.904762,0,0,100,0,0,0,0,47.058824,36.956522,0,0,0,0
PL1.MC,0,66.666667,77.777778,53.333333,65.384615,56.521739,61.904762,0,0,100,0,0,0,0,47.058824,36.956522,0,0,0,0
PL1.MC,0,66.666667,77.777778,33.333333,65.384615,56.521739,61.904762,0,0,100,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,66.666667,77.777778,0,65.384615,56.521739,61.904762,0,0,0,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,0,0,0,34.615385,56.521739,61.904762,0,0,0,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,66.666667,77.777778,33.333333,34.615385,56.521739,61.904762,0,0,63.636364,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,66.666667,0,43.333333,46.153846,56.521739,61.904762,0,0,63.636364,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,77.777778,0,43.333333,46.153846,56.521739,61.904762,0,0,63.636364,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,77.777778,0,43.333333,46.153846,78.26087,61.904762,0,0,63.636364,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,77.777778,0,43.333333,46.153846,0,61.904762,0,0,63.636364,0,0,0,0,52.941176,73.913043,0,0,0,0
PL1.MC,0,77.777778,0,40,57.692308,0,61.904762,0,0,63.636364,0,0,0,0,52.941176,54.347826,0,0,0,0
PL1.MC,0,77.777778,0,23.333333,57.692308,0,85.714286,0,0,0,0,0,0,0,50,54.347826,0,0,0,0
PL1.MC,0,77.777778,0,23.333333,57.692308,0,0,0,0,0,0,0,0,0,50,54.347826,0,0,0,0
PL1.MC,0,0,0,20,26.923077,0,0,0,0,0,0,0,0,0,50,54.347826,0,0,0,0
PL1.MC,0,0,0,20,26.923077,0,0,0,0,0,0,0,0,0,41.176471,54.347826,0,0,0,0
PL1.MC,0,33.333333,77.777778,30,26.923077,78.26087,85.714286,0,0,72.727273,0,0,0,0,47.058824,54.347826,0,0,0,0
PL1.MC,0,33.333333,77.777778,30,26.923077,78.26087,85.714286,0,0,72.727273,0,0,0,0,47.058824,47.826087,0,0,0,0
PL1.MC,0,33.333333,77.777778,30,26.923077,73.913043,85.714286,0,0,72.727273,0,0,0,0,47.058824,47.826087,0,0,0,0
PL1.MC,0,33.333333,77.777778,30,26.923077,52.173913,57.142857,0,0,72.727273,0,0,0,0,47.058824,47.826087,0,0,0,0
PL1.MC,0,33.333333,77.777778,53.333333,42.307692,52.173913,57.142857,0,0,0,0,0,0,0,47.058824,47.826087,0,0,0,0
PL1.MC,0,33.333333,77.777778,36.666667,42.307692,52.173913,57.142857,0,0,0,0,0,0,0,41.176471,47.826087,0,0,0,0
PL1.MC,0,0,77.777778,36.666667,42.307692,52.173913,57.142857,0,0,0,0,0,0,0,41.176471,47.826087,0,0,0,0
PL1.MC,0,0,77.777778,36.666667,42.307692,39.130435,47.619048,0,0,0,0,0,0,0,41.176471,47.826087,0,0,0,0
PL1.MC,0,0,0,36.666667,42.307692,47.826087,47.619048,0,0,0,0,0,0,0,44.117647,52.173913,0,0,0,0
PL1.MC,0,0,0,36.666667,0,47.826087,47.619048,0,0,0,0,0,0,0,47.058824,0,0,0,0,0
L1.MC,0,0,88.888889,36.666667,42.307692,47.826087,47.619048,0,0,72.727273,0,0,0,0,70.588235,52.173913,0,0,0,0
L1.MC,0,0,88.888889,46.666667,50,47.826087,47.619048,0,0,72.727273,0,0,0,0,67.647059,52.173913,0,0,0,0
L1.MC,0,0,88.888889,36.666667,50,47.826087,47.619048,0,0,0,0,0,0,0,67.647059,52.173913,0,0,0,0
L1.MC,0,0,88.888889,36.666667,50,47.826087,47.619048,0,0,0,0,0,0,0,67.647059,52.173913,0,0,0,0
L1.MC,0,0,88.888889,36.666667,50,47.826087,47.619048,0,0,0,0,0,0,0,73.529412,52.173913,0,0,0,0
L1.MC,0,0,0,36.666667,50,73.913043,76.190476,0,0,0,0,0,0,0,73.529412,52.173913,0,0,0,0
L1.MC,0,0,0,36.666667,50,73.913043,76.190476,0,0,0,0,0,0,0,73.529412,52.173913,0,0,0,0
L1.MC,0,0,0,63.333333,73.076923,73.913043,76.190476,0,0,0,0,0,0,0,67.647059,52.173913,0,0,0,0
L1.MC,0,0,0,63.333333,73.076923,73.913043,76.190476,0,0,0,0,0,0,0,67.647059,0,0,0,0,0
L1.MC,0,0,0,63.333333,73.076923,73.913043,76.190476,0,0,0,0,0,0,0,61.764706,0,0,0,0,0
L1.MC,0,0,88.888889,63.333333,73.076923,73.913043,76.190476,0,0,0,0,0,0,0,67.647059,82.608696,0,0,0,0
L1.MC,0,0,88.888889,63.333333,73.076923,52.173913,57.142857,0,0,0,0,0,0,0,61.764706,82.608696,0,0,0,0
L1.MC,0,0,88.888889,63.333333,73.076923,56.521739,57.142857,0,0,0,0,0,0,0,61.764706,82.608696,0,0,0,0
L1.MC,0,0,88.888889,50,73.076923,56.521739,57.142857,0,0,0,0,0,0,0,61.764706,82.608696,0,0,0,0
L1.MC,0,0,77.777778,50,73.076923,56.521739,57.142857,0,0,0,0,0,0,0,61.764706,54.347826,0,0,0,0
L1.MC,0,0,77.777778,50,73.076923,56.521739,57.142857,0,0,0,0,0,0,0,61.764706,54.347826,0,0,0,0
L1.MC,0,0,77.777778,50,0,56.521739,57.142857,0,0,0,0,0,0,0,61.764706,84.782609,0,0,0,0
L1.MC,0,0,0,50,0,43.478261,52.380952,0,0,0,0,0,0,0,73.529412,0,0,0,0,0
L1.MC,0,0,0,40,0,43.478261,52.380952,0,0,0,0,0,0,0,73.529412,0,0,0,0,0
L1.MC,0,0,0,0,0,43.478261,52.380952,0,0,0,0,0,0,0,73.529412,0,0,0,0,0
L1.MC,100,77.777778,77.777778,40,42.307692,43.478261,52.380952,0,0,0,0,0,0,0,100,84.782609,0,0,0,0
L1.MC,100,77.777778,77.777778,40,42.307692,43.478261,52.380952,0,0,0,0,0,0,0,100,91.304348,0,0,0,0
L1.MC,100,0,77.777778,40,42.307692,43.478261,52.380952,0,0,0,0,0,0,0,91.176471,91.304348,0,0,0,0
L1.MC,100,0,77.777778,40,42.307692,69.565217,76.190476,0,0,0,0,0,0,0,91.176471,67.391304,0,0,0,0
L1.MC,100,0,77.777778,40,42.307692,69.565217,76.190476,0,0,0,0,0,0,0,91.176471,67.391304,0,0,0,0
L1.MC,100,0,77.777778,40,42.307692,69.565217,76.190476,0,0,0,0,0,0,0,91.176471,67.391304,0,0,0,0
L1.MC,100,0,0,40,50,69.565217,76.190476,0,0,0,0,0,0,0,91.176471,67.391304,0,0,0,0
L1.MC,0,0,0,50,50,69.565217,76.190476,0,0,0,0,0,0,0,91.176471,67.391304,0,0,0,0
L1.MC,0,0,0,50,50,39.130435,76.190476,0,0,0,0,0,0,0,85.294118,67.391304,0,0,0,0
L1.MC,0,0,0,50,0,39.130435,76.190476,0,0,0,0,0,0,0,82.352941,67.391304,0,0,0,0
L1.MC,100,77.777778,0,30,50,39.130435,76.190476,0,0,0,0,0,0,0,100,67.391304,0,0,0,0
L1.MC,64.285714,77.777778,0,30,50,39.130435,76.190476,0,0,0,0,0,0,0,100,67.391304,0,0,0,0
L1.MC,64.285714,77.777778,0,30,50,39.130435,52.380952,0,0,0,0,0,0,0,94.117647,82.608696,0,0,0,0
L1.MC,92.857143,77.777778,0,30,80.769231,39.130435,52.380952,0,0,0,0,0,0,0,94.117647,82.608696,0,0,0,0
L1.MC,92.857143,0,0,30,80.769231,56.521739,52.380952,0,0,0,0,0,0,0,94.117647,82.608696,0,0,0,0
L1.MC,92.857143,0,0,46.666667,57.692308,0,52.380952,0,0,0,0,0,0,0,82.352941,82.608696,0,0,0,0
L1.MC,92.857143,0,0,56.666667,57.692308,0,52.380952,0,0,0,0,0,0,0,82.352941,82.608696,0,0,0,0
L1.MC,92.857143,0,0,56.666667,57.692308,0,52.380952,0,0,0,0,0,0,0,82.352941,82.608696,0,0,0,0
L1.MC,92.857143,0,0,56.666667,57.692308,0,61.904762,0,0,0,0,0,0,0,88.235294,86.956522,0,0,0,0
L1.MC,92.857143,0,0,56.666667,57.692308,0,0,0,0,0,0,0,0,0,88.235294,0,0,0,0,0
L1.MC,92.857143,100,0,53.333333,57.692308,56.521739,61.904762,0,0,0,0,0,0,0,58.823529,86.956522,0,0,0,0
L1.MC,92.857143,100,0,53.333333,57.692308,56.521739,61.904762,0,0,0,0,0,0,0,58.823529,86.956522,0,0,0,0
L1.MC,0,0,0,53.333333,57.692308,56.521739,61.904762,0,0,0,0,0,0,0,58.823529,86.956522,0,0,0,0
