@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,-500,-95,-500,-500,-500,-70,-69,-500,-500,-500,-500,-500,-500,-500,-90,-89,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-74,-75,-500,-500,-500,-500,-500,-500,-500,-88,-90,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-74,-73,-500,-500,-500,-500,-500,-500,-500,-87,-87,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-70,-65,-500,-500,-500,-500,-500,-500,-500,-84,-85,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-65,-65,-500,-500,-500,-500,-500,-500,-500,-82,-82,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-69,-68,-500,-500,-500,-500,-500,-500,-500,-88,-86,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-69,-69,-500,-500,-500,-500,-500,-500,-500,-88,-88,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-81,-81,-500,-500,-500,-500,-500,-500,-500,-88,-89,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-80,-81,-500,-500,-500,-500,-500,-500,-500,-87,-88,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-72,-74,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-90,-88,-500,-500,-500,-500,-500,-500,-500,-89,-88,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-88,-86,-500,-500,-500,-500,-500,-500,-500,-90,-91,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-76,-76,-500,-500,-500,-500,-500,-500,-500,-90,-90,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-77,-78,-500,-500,-500,-500,-500,-500,-500,-88,-88,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-74,-74,-500,-500,-500,-500,-500,-500,-500,-87,-89,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-90,-89,-500,-500,-500,-500,-500,-500,-500,-89,-88,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-86,-85,-500,-500,-500,-500,-500,-500,-500,-90,-91,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-76,-76,-500,-500,-500,-500,-500,-500,-500,-84,-85,-500,-500,-500,-500
L2.MC,-500,-500,-500,-500,-500,-77,-76,-500,-500,-500,-500,-500,-500,-500,-500,-90,-500,-500,-500,-500
