@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,0,38.461538,0,0,0,83.333333,88.571429,0,0,0,0,0,0,0,20.408163,22.44898,0,0,0,0
L2.MC,0,0,0,0,0,72.222222,71.428571,0,0,0,0,0,0,0,24.489796,20.408163,0,0,0,0
L2.MC,0,0,0,0,0,72.222222,77.142857,0,0,0,0,0,0,0,26.530612,26.530612,0,0,0,0
L2.MC,0,0,0,0,0,83.333333,100,0,0,0,0,0,0,0,32.653061,30.612245,0,0,0,0
L2.MC,0,0,0,0,0,97.222222,100,0,0,0,0,0,0,0,36.734694,36.734694,0,0,0,0
L2.MC,0,0,0,0,0,86.111111,91.428571,0,0,0,0,0,0,0,24.489796,28.571429,0,0,0,0
L2.MC,0,0,0,0,0,86.111111,88.571429,0,0,0,0,0,0,0,24.489796,24.489796,0,0,0,0
L2.MC,0,0,0,0,0,52.777778,54.285714,0,0,0,0,0,0,0,24.489796,22.44898,0,0,0,0
L2.MC,0,0,0,0,0,55.555556,54.285714,0,0,0,0,0,0,0,26.530612,24.489796,0,0,0,0
L2.MC,0,0,0,0,0,77.777778,74.285714,0,0,0,0,0,0,0,0,0,0,0,0,0
