@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,?,-95,?,?,?,-70,-69,?,?,?,?,?,?,?,-90,-89,?,?,?,?
L2.MC,?,?,?,?,?,-74,-75,?,?,?,?,?,?,?,-88,-90,?,?,?,?
L2.MC,?,?,?,?,?,-74,-73,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-70,-65,?,?,?,?,?,?,?,-84,-85,?,?,?,?
L2.MC,?,?,?,?,?,-65,-65,?,?,?,?,?,?,?,-82,-82,?,?,?,?
L2.MC,?,?,?,?,?,-69,-68,?,?,?,?,?,?,?,-88,-86,?,?,?,?
L2.MC,?,?,?,?,?,-69,-69,?,?,?,?,?,?,?,-88,-88,?,?,?,?
L2.MC,?,?,?,?,?,-81,-81,?,?,?,?,?,?,?,-88,-89,?,?,?,?
L2.MC,?,?,?,?,?,-80,-81,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-72,-74,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-90,-88,?,?,?,?,?,?,?,-89,-88,?,?,?,?
L2.MC,?,?,?,?,?,-88,-86,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-76,-76,?,?,?,?,?,?,?,-90,-90,?,?,?,?
L2.MC,?,?,?,?,?,-77,-78,?,?,?,?,?,?,?,-88,-88,?,?,?,?
L2.MC,?,?,?,?,?,-74,-74,?,?,?,?,?,?,?,-87,-89,?,?,?,?
L2.MC,?,?,?,?,?,-90,-89,?,?,?,?,?,?,?,-89,-88,?,?,?,?
L2.MC,?,?,?,?,?,-86,-85,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-76,-76,?,?,?,?,?,?,?,-84,-85,?,?,?,?
L2.MC,?,?,?,?,?,-77,-76,?,?,?,?,?,?,?,?,-90,?,?,?,?
L2.MC,?,?,?,?,?,-74,-75,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-78,-77,?,?,?,?,?,?,?,-93,-92,?,?,?,?
L2.MC,?,?,?,?,?,-80,-81,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-71,-71,?,?,?,?,?,?,?,-83,-84,?,?,?,?
L2.MC,?,?,?,?,?,-84,-82,?,?,?,?,?,?,?,-92,-91,?,?,?,?
L2.MC,?,?,?,?,?,-83,-83,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-83,-82,?,?,?,?,?,?,?,-89,-92,?,?,?,?
L2.MC,?,?,?,?,?,-70,-71,?,?,?,?,?,?,?,-90,-89,?,?,?,?
L2.MC,?,?,?,?,?,-81,-81,?,?,?,?,?,?,?,-87,-91,?,?,?,?
L2.MC,?,?,?,?,?,-73,-73,?,?,?,?,?,?,?,?,-88,?,?,?,?
L2.MC,?,?,?,?,?,-82,-81,?,?,?,?,?,?,?,-88,-86,?,?,?,-96
L2.MC,?,?,?,?,?,-71,-75,?,?,?,?,?,?,?,-89,-90,?,?,?,?
L2.MC,?,?,?,?,?,-69,-69,?,?,?,?,?,?,?,-89,-87,?,?,?,?
L2.MC,?,?,?,?,?,-74,-74,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-74,-75,?,?,?,?,?,?,?,-84,-88,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-91,-88,?,?,?,?
L2.MC,?,?,?,?,?,-88,-88,?,?,?,?,?,?,?,-86,-87,?,?,?,?
L2.MC,?,?,?,?,?,-75,-74,?,?,?,?,?,?,?,-91,-90,?,?,?,?
L2.MC,?,?,?,?,?,-73,-72,?,?,?,?,?,?,?,-91,-91,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,-92,-92,?,?,-84,-85,?,?,?,?,?,?,?,-84,-85,?,?,?,?
L2.MC,?,?,?,?,?,-88,-87,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-79,-79,?,?,?,?,?,?,?,-88,-89,?,?,?,?
L2.MC,?,?,?,?,?,-77,-77,?,?,?,?,?,?,?,-88,-89,?,?,?,?
L2.MC,?,?,?,?,?,-77,-77,?,?,?,?,?,?,?,-85,-85,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-77,-77,?,?,?,?,?,?,?,-90,-89,?,?,?,?
L2.MC,?,?,?,?,?,-73,-72,?,?,?,?,?,?,?,-90,?,?,?,?,?
L2.MC,?,?,?,?,?,-82,-82,?,?,?,?,?,?,?,-91,?,?,?,?,?
L2.MC,?,?,?,?,?,-84,-84,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-88,-88,?,?,?,?,?,?,?,-87,-89,?,?,?,?
L2.MC,?,?,?,?,?,-71,-72,?,?,?,?,?,?,?,-90,-90,?,?,?,?
L2.MC,?,?,?,?,?,-80,-79,?,?,?,?,?,?,?,-84,-84,?,?,?,?
L2.MC,?,?,?,?,?,-77,-78,?,?,?,?,?,?,?,-83,-83,?,?,?,?
L2.MC,?,?,?,?,?,-70,-70,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-74,-75,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-79,-78,?,?,?,?,?,?,?,-88,-87,?,?,?,?
L2.MC,?,?,?,?,?,-85,-84,?,?,?,?,?,?,?,-83,-84,?,?,?,?
L2.MC,?,?,?,?,?,-78,-79,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-70,-70,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-91,-89,?,?,?,?
L2.MC,?,?,?,?,?,-81,-80,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-69,-69,?,?,?,?,?,?,?,-91,-88,?,?,?,?
L2.MC,?,?,?,?,?,-77,-76,?,?,?,?,?,?,?,-88,-86,?,?,?,?
L2.MC,?,?,?,?,?,-81,-80,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-77,-76,?,?,?,?,?,?,?,?,-90,?,?,?,?
L2.MC,?,?,?,?,?,-81,-81,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-75,-75,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-74,-74,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-74,-74,?,?,?,?,?,?,?,?,?,?,?,?,?
