@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.24703369640216,-72.25371165156201,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.18025414480357,-82.18693209996343,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.2403557412423,-74.2403557412423,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.18025414480357,-82.18693209996343,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.24703369640216,-73.24703369640216,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.14686436900428,-88.14686436900428,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-69.27374551704159,-69.27374551704159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.18025414480357,-84.17357618964371,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.22032187576272,-78.21364392060286,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.18025414480357,-83.18025414480357,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.26038960672187,-72.25371165156201,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.14018641384442,-88.14686436900428,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-83.18025414480357,-86.160220279324,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.15354232416414,-88.14686436900428,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.22032187576272,-77.22032187576272,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.12683050352469,-82.18693209996343,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.24703369640216,-74.2403557412423,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.18693209996343,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.26038960672187,-69.27374551704159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
