@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 12',-100.0,-94.88296209770843,-100.0,-84.8498888410213,-93.87965477203971,-93.87965477203971,-91.87304012070229,-100.0,-100.0,-92.876347446371,-92.876347446371,-100.0,-100.0,-100.0,-70.80358628165934,-79.83335221267774,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-94.88296209770843,-100.0,-84.8498888410213,-93.87965477203971,-93.87965477203971,-91.87304012070229,-100.0,-100.0,-92.876347446371,-92.876347446371,-100.0,-100.0,-100.0,-70.80358628165934,-79.83335221267774,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.8498888410213,-93.87965477203971,-93.87965477203971,-91.87304012070229,-100.0,-100.0,-92.876347446371,-92.876347446371,-100.0,-100.0,-100.0,-70.80358628165934,-79.83335221267774,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.8498888410213,-93.87965477203971,-81.83996686401517,-81.83996686401517,-100.0,-100.0,-92.876347446371,-92.876347446371,-100.0,-100.0,-100.0,-71.80689360732805,-72.81020093299675,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.8498888410213,-93.87965477203971,-81.83996686401517,-81.83996686401517,-100.0,-100.0,-92.876347446371,-92.876347446371,-100.0,-100.0,-100.0,-71.80689360732805,-72.81020093299675,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.87965477203971,-100.0,-81.83996686401517,-81.83996686401517,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.81350825866546,-72.81020093299675,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.87965477203971,-100.0,-81.83996686401517,-81.83996686401517,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.81020093299675,-72.81020093299675,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.87965477203971,-100.0,-81.83996686401517,-81.83996686401517,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.81020093299675,-72.81020093299675,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.87965477203971,-100.0,-76.82343023567161,-81.83996686401517,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.81020093299675,-72.81020093299675,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.87965477203971,-100.0,-76.82343023567161,-81.83996686401517,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.81681558433418,-71.80689360732805,-100.0,-100.0,-100.0,-100.0
