@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 12',-100.0,-94.19573433580211,-100.0,-84.23471770982496,-93.1996326732044,-93.1996326732044,-91.20742934800897,-100.0,-100.0,-92.20353101060668,-92.20353101060668,-100.0,-100.0,-100.0,-70.28929443345696,-79.25420939683639,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-94.19573433580211,-100.0,-84.23471770982496,-93.1996326732044,-93.1996326732044,-91.20742934800897,-100.0,-100.0,-92.20353101060668,-92.20353101060668,-100.0,-100.0,-100.0,-70.28929443345696,-79.25420939683639,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.23471770982496,-93.1996326732044,-93.1996326732044,-91.20742934800897,-100.0,-100.0,-92.20353101060668,-92.20353101060668,-100.0,-100.0,-100.0,-70.28929443345696,-79.25420939683639,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.23471770982496,-93.1996326732044,-81.24641272203182,-81.24641272203182,-100.0,-100.0,-92.20353101060668,-92.20353101060668,-100.0,-100.0,-100.0,-71.28539609605467,-72.28149775865239,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.23471770982496,-93.1996326732044,-81.24641272203182,-81.24641272203182,-100.0,-100.0,-92.20353101060668,-92.20353101060668,-100.0,-100.0,-100.0,-71.28539609605467,-72.28149775865239,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.1996326732044,-100.0,-81.24641272203182,-81.24641272203182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.2775994212501,-72.28149775865239,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.1996326732044,-100.0,-81.24641272203182,-81.24641272203182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.28149775865239,-72.28149775865239,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.1996326732044,-100.0,-81.24641272203182,-81.24641272203182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.28149775865239,-72.28149775865239,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.1996326732044,-100.0,-76.26590440904324,-81.24641272203182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.28149775865239,-72.28149775865239,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-93.1996326732044,-100.0,-76.26590440904324,-81.24641272203182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.27370108384783,-71.28539609605467,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-94.19573433580211,-91.20742934800897,-87.2230226976181,-93.1996326732044,-76.26590440904324,-81.24641272203182,-100.0,-100.0,-92.20353101060668,-92.20353101060668,-100.0,-100.0,-100.0,-67.30098944566382,-71.28539609605467,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-94.19573433580211,-91.20742934800897,-87.2230226976181,-93.1996326732044,-76.26590440904324,-84.23471770982496,-100.0,-100.0,-90.21132768541125,-92.20353101060668,-100.0,-100.0,-100.0,-67.30098944566382,-71.28539609605467,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-94.19573433580211,-91.20742934800897,-87.2230226976181,-93.1996326732044,-76.26590440904324,-84.23471770982496,-100.0,-100.0,-90.21132768541125,-92.20353101060668,-100.0,-100.0,-100.0,-69.29319277085925,-71.28539609605467,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-94.19573433580211,-91.20742934800897,-87.2230226976181,-93.1996326732044,-76.26590440904324,-84.23471770982496,-100.0,-100.0,-90.21132768541125,-92.20353101060668,-100.0,-100.0,-100.0,-69.29319277085925,-73.2775994212501,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-91.20742934800897,-87.2230226976181,-100.0,-86.2269210350204,-84.23471770982496,-100.0,-100.0,-100.0,-90.21132768541125,-100.0,-100.0,-100.0,-69.29319277085925,-73.2775994212501,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-91.20742934800897,-87.2230226976181,-100.0,-100.0,-84.23471770982496,-100.0,-100.0,-100.0,-90.21132768541125,-100.0,-100.0,-100.0,-69.29319277085925,-75.26980274644554,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-91.20742934800897,-100.0,-100.0,-100.0,-84.23471770982496,-100.0,-100.0,-100.0,-90.21132768541125,-100.0,-100.0,-100.0,-69.29319277085925,-75.26980274644554,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.2269210350204,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.29319277085925,-75.26980274644554,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.29709110826153,-75.26980274644554,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.29709110826153,-66.3048877830661,-100.0,-100.0,-100.0,-100.0
'MP 14',-100.0,-91.20742934800897,-91.20742934800897,-88.21912436021583,-86.2269210350204,-85.23081937242269,-86.2269210350204,-100.0,-100.0,-90.21132768541125,-90.21132768541125,-100.0,-100.0,-100.0,-72.28149775865239,-66.3048877830661,-100.0,-100.0,-100.0,-100.0
'MP 14',-100.0,-91.20742934800897,-91.20742934800897,-88.21912436021583,-86.2269210350204,-85.23081937242269,-86.2269210350204,-100.0,-100.0,-90.21132768541125,-90.21132768541125,-100.0,-100.0,-100.0,-75.26980274644554,-66.3048877830661,-100.0,-100.0,-100.0,-100.0
'MP 14',-100.0,-91.20742934800897,-91.20742934800897,-88.21912436021583,-86.2269210350204,-85.23081937242269,-86.2269210350204,-100.0,-100.0,-90.21132768541125,-90.21132768541125,-100.0,-100.0,-100.0,-74.27370108384783,-66.3048877830661,-100.0,-100.0,-100.0,-100.0
'MP 14',-100.0,-91.20742934800897,-91.20742934800897,-88.21912436021583,-86.2269210350204,-79.25420939683639,-80.25031105943411,-100.0,-100.0,-93.1996326732044,-90.21132768541125,-100.0,-100.0,-100.0,-73.2775994212501,-73.2775994212501,-100.0,-100.0,-100.0,-100.0
'MP 14',-100.0,-91.20742934800897,-91.20742934800897,-88.21912436021583,-86.2269210350204,-79.25420939683639,-80.25031105943411,-100.0,-100.0,-92.20353101060668,-90.21132768541125,-100.0,-100.0,-100.0,-73.2775994212501,-73.2775994212501,-100.0,-100.0,-100.0,-100.0
