@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-94.94889176791204,-100.0,-100.0,-100.0,-69.87145764012773,-68.86836027501636,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.93340494235518,-88.93030757724381,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.88384710057322,-74.88694446568459,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.92721021213244,-89.93340494235518,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.88384710057322,-72.88074973546185,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.92411284702106,-86.92411284702106,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-69.87145764012773,-64.85597081457087,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.91482075168695,-84.91791811679832,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-64.85597081457087,-64.85597081457087,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.9086260214642,-81.9086260214642,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-68.86836027501636,-67.86526290990498,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.92721021213244,-85.92101548190969,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-68.86836027501636,-68.86836027501636,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.92721021213244,-87.92721021213244,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-80.90552865635283,-80.90552865635283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.92721021213244,-88.93030757724381,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-79.90243129124146,-80.90552865635283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.92411284702106,-87.92721021213244,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.87765237035048,-73.88384710057322,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
