@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.39376851857087,-70.42648840613401,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-80.09928953050253,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.36104863100772,-72.36104863100772,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-80.09928953050253,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.39376851857087,-71.39376851857087,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.90297020512365,-85.90297020512365,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-67.52464806882345,-67.52464806882345,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-82.03384975537624,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.26288896831828,-76.23016908075513,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-81.06656964293938,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.45920829369716,-70.42648840613401,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.8702503175605,-85.90297020512365,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-83.96840998024994,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.9356900926868,-85.90297020512365,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.26288896831828,-75.26288896831828,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.80481054243421,-80.09928953050253,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.39376851857087,-72.36104863100772,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.09928953050253,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.45920829369716,-67.52464806882345,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-82.03384975537624,-82.03384975537624,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.03384975537624,-87.83753042999736,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-68.4919281812603,-68.4919281812603,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.23016908075513,-77.19744919319197,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.45920829369716,-69.45920829369716,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.19744919319197,-78.16472930562882,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-68.4919281812603,-68.4919281812603,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.00112986781309,-78.16472930562882,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-60.75368728176549,-61.72096739420234,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.09928953050253,-80.09928953050253,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.39376851857087,-69.45920829369716,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-80.09928953050253,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-65.59008784394975,-65.59008784394975,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.09928953050253,-79.13200941806568,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.36104863100772,-70.42648840613401,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.03384975537624,-82.03384975537624,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-61.72096739420234,-61.72096739420234,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.29560885588143,-74.29560885588143,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-59.78640716932863,-59.78640716932863,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.29560885588143,-75.26288896831828,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.9356900926868,-84.9356900926868,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-67.52464806882345,-66.5573679563866,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.09928953050253,-79.13200941806568,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.39376851857087,-70.42648840613401,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.90297020512365,-85.90297020512365,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.36104863100772,-72.36104863100772,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.13200941806568,-78.16472930562882,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-61.72096739420234,-63.65552761907605,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.19744919319197,-77.19744919319197,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-62.68824750663919,-62.68824750663919,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.90297020512365,-84.9356900926868,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-65.59008784394975,-66.5573679563866,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.06656964293938,-82.03384975537624,-100.0,-100.0,-100.0,-100.0
