@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.0081391000716,-76.43380122357962,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.75151786499131,-82.17717998849935,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.58247697656357,-77.58247697656357,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.75151786499131,-82.17717998849935,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.0081391000716,-77.0081391000716,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.62320724745118,-85.62320724745118,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.71078759410372,-74.71078759410372,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.75151786499131,-83.3258557414833,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.30549060603948,-79.87982848253145,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.75151786499131,-82.75151786499131,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.85946334708765,-76.43380122357962,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.19754512394314,-85.62320724745118,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-82.75151786499131,-84.47453149446724,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.04886937095921,-85.62320724745118,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.30549060603948,-79.30549060603948,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.3462208769271,-82.17717998849935,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.0081391000716,-77.58247697656357,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.17717998849935,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.85946334708765,-74.71078759410372,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.3258557414833,-83.3258557414833,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.3258557414833,-86.77188300043512,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.28512547059569,-75.28512547059569,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.87982848253145,-80.45416635902343,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.85946334708765,-75.85946334708765,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.45416635902343,-81.02850423551541,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.28512547059569,-75.28512547059569,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.90019361797526,-81.02850423551541,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-70.69042245865991,-71.26476033515188,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.17717998849935,-82.17717998849935,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.0081391000716,-75.85946334708765,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.75151786499131,-82.17717998849935,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.56211184111976,-73.56211184111976,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.17717998849935,-81.60284211200738,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.58247697656357,-76.43380122357962,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.3258557414833,-83.3258557414833,-100.0,-100.0,-100.0,-100.0
