@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.55999351764818,-68.57279458232613,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.43198287086868,-78.44478393554664,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-70.54719245297024,-70.54719245297024,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.43198287086868,-78.44478393554664,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.55999351764818,-69.55999351764818,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.36797754747894,-84.36797754747894,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-65.61119777635997,-65.61119777635997,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.43198287086868,-80.41918180619074,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.50878925893639,-74.49598819425843,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.43198287086868,-79.43198287086868,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-67.58559564700408,-68.57279458232613,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.35517648280099,-84.36797754747894,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.43198287086868,-82.39357967683483,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.38077861215689,-84.36797754747894,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.50878925893639,-73.50878925893639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.3295743534451,-78.44478393554664,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.55999351764818,-70.54719245297024,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.44478393554664,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-67.58559564700408,-65.61119777635997,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
