@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'PL1.MC',-100.0,-96.18571198521069,-100.0,-84.54339154074002,-95.02147994076363,-95.02147994076363,-92.69301585186949,-100.0,-100.0,-93.85724789631655,-93.85724789631655,-100.0,-100.0,-100.0,-68.24414291848109,-78.72223131850468,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-96.18571198521069,-100.0,-84.54339154074002,-95.02147994076363,-95.02147994076363,-92.69301585186949,-100.0,-100.0,-93.85724789631655,-93.85724789631655,-100.0,-100.0,-100.0,-68.24414291848109,-78.72223131850468,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-84.54339154074002,-95.02147994076363,-95.02147994076363,-92.69301585186949,-100.0,-100.0,-93.85724789631655,-93.85724789631655,-100.0,-100.0,-100.0,-68.24414291848109,-78.72223131850468,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-84.54339154074002,-95.02147994076363,-81.05069540739882,-81.05069540739882,-100.0,-100.0,-93.85724789631655,-93.85724789631655,-100.0,-100.0,-100.0,-69.40837496292815,-70.57260700737523,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-84.54339154074002,-95.02147994076363,-81.05069540739882,-81.05069540739882,-100.0,-100.0,-93.85724789631655,-93.85724789631655,-100.0,-100.0,-100.0,-69.40837496292815,-70.57260700737523,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-95.02147994076363,-100.0,-81.05069540739882,-81.05069540739882,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.73683905182229,-70.57260700737523,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-95.02147994076363,-100.0,-81.05069540739882,-81.05069540739882,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.57260700737523,-70.57260700737523,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-95.02147994076363,-100.0,-81.05069540739882,-81.05069540739882,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.57260700737523,-70.57260700737523,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-95.02147994076363,-100.0,-75.22953518516348,-81.05069540739882,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.57260700737523,-70.57260700737523,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-95.02147994076363,-100.0,-75.22953518516348,-81.05069540739882,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.90107109626935,-69.40837496292815,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-96.18571198521069,-92.69301585186949,-88.03608767408122,-95.02147994076363,-75.22953518516348,-81.05069540739882,-100.0,-100.0,-93.85724789631655,-93.85724789631655,-100.0,-100.0,-100.0,-64.75144678513989,-69.40837496292815,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-96.18571198521069,-92.69301585186949,-88.03608767408122,-95.02147994076363,-75.22953518516348,-84.54339154074002,-100.0,-100.0,-91.52878380742243,-93.85724789631655,-100.0,-100.0,-100.0,-64.75144678513989,-69.40837496292815,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-96.18571198521069,-92.69301585186949,-88.03608767408122,-95.02147994076363,-75.22953518516348,-84.54339154074002,-100.0,-100.0,-91.52878380742243,-93.85724789631655,-100.0,-100.0,-100.0,-67.07991087403401,-69.40837496292815,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-96.18571198521069,-92.69301585186949,-88.03608767408122,-95.02147994076363,-75.22953518516348,-84.54339154074002,-100.0,-100.0,-91.52878380742243,-93.85724789631655,-100.0,-100.0,-100.0,-67.07991087403401,-71.73683905182229,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-92.69301585186949,-88.03608767408122,-100.0,-86.87185562963415,-84.54339154074002,-100.0,-100.0,-100.0,-91.52878380742243,-100.0,-100.0,-100.0,-67.07991087403401,-71.73683905182229,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-92.69301585186949,-88.03608767408122,-100.0,-100.0,-84.54339154074002,-100.0,-100.0,-100.0,-91.52878380742243,-100.0,-100.0,-100.0,-67.07991087403401,-74.06530314071642,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-92.69301585186949,-100.0,-100.0,-100.0,-84.54339154074002,-100.0,-100.0,-100.0,-91.52878380742243,-100.0,-100.0,-100.0,-67.07991087403401,-74.06530314071642,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.87185562963415,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.07991087403401,-74.06530314071642,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.91567882958695,-74.06530314071642,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.91567882958695,-63.587214740692815,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-92.69301585186949,-92.69301585186949,-89.20031971852829,-86.87185562963415,-85.7076235851871,-86.87185562963415,-100.0,-100.0,-91.52878380742243,-91.52878380742243,-100.0,-100.0,-100.0,-70.57260700737523,-63.587214740692815,-100.0,-100.0,-100.0,-100.0
'PL1.MC',-100.0,-92.69301585186949,-92.69301585186949,-89.20031971852829,-86.87185562963415,-85.7076235851871,-86.87185562963415,-100.0,-100.0,-91.52878380742243,-91.52878380742243,-100.0,-100.0,-100.0,-74.06530314071642,-63.587214740692815,-100.0,-100.0,-100.0,-100.0
