@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-100.0,-95.17283991694475,-100.0,-100.0,-100.0,-72.4907277066222,-71.58344321820928,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.63641747488025,-89.72913298646733,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.1198656602738,-77.0271501486867,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.82184849805444,-90.63641747488025,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.1198656602738,-75.2125811718609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.91456400964154,-87.91456400964154,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.4907277066222,-67.95430526455769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.19271054440283,-86.09999503281573,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-67.95430526455769,-67.95430526455769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.37814156757702,-83.37814156757702,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.58344321820928,-70.67615872979638,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.82184849805444,-87.00727952122864,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.58344321820928,-71.58344321820928,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.82184849805444,-88.82184849805444,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-82.47085707916412,-82.47085707916412,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.82184849805444,-89.72913298646733,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.56357259075122,-82.47085707916412,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.91456400964154,-88.82184849805444,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.30529668344799,-76.1198656602738,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
