@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-77.0081391000716,-76.43380122357962,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-82.75151786499131,-82.17717998849935,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-77.58247697656357,-77.58247697656357,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-82.75151786499131,-82.17717998849935,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-77.0081391000716,-77.0081391000716,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-85.62320724745118,-85.62320724745118,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-74.71078759410372,-74.71078759410372,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-82.75151786499131,-83.3258557414833,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-79.30549060603948,-79.87982848253145,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-82.75151786499131,-82.75151786499131,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-75.85946334708765,-76.43380122357962,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-86.19754512394314,-85.62320724745118,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-82.75151786499131,-84.47453149446724,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-85.04886937095921,-85.62320724745118,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-79.30549060603948,-79.30549060603948,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-87.3462208769271,-82.17717998849935,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-77.0081391000716,-77.58247697656357,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-82.17717998849935,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-75.85946334708765,-74.71078759410372,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
'L2.MC',-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-83.3258557414833,-83.3258557414833,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484,-83.3258557414833,-86.77188300043512,-92.51526176535484,-92.51526176535484,-92.51526176535484,-92.51526176535484
