@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'PL1.MC',-100.81612779581887,-95.09587017990015,-100.81612779581887,-83.65535494806268,-93.9518186567164,-93.9518186567164,-91.6637156103489,-100.81612779581887,-100.81612779581887,-92.80776713353265,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-67.63863362349024,-77.93509733214395,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-95.09587017990015,-100.81612779581887,-83.65535494806268,-93.9518186567164,-93.9518186567164,-91.6637156103489,-100.81612779581887,-100.81612779581887,-92.80776713353265,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-67.63863362349024,-77.93509733214395,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-83.65535494806268,-93.9518186567164,-93.9518186567164,-91.6637156103489,-100.81612779581887,-100.81612779581887,-92.80776713353265,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-67.63863362349024,-77.93509733214395,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-83.65535494806268,-93.9518186567164,-80.22320037851144,-80.22320037851144,-100.81612779581887,-100.81612779581887,-92.80776713353265,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-68.78268514667398,-69.92673666985773,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-83.65535494806268,-93.9518186567164,-80.22320037851144,-80.22320037851144,-100.81612779581887,-100.81612779581887,-92.80776713353265,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-68.78268514667398,-69.92673666985773,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-93.9518186567164,-100.81612779581887,-80.22320037851144,-80.22320037851144,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-69.92673666985773,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-93.9518186567164,-100.81612779581887,-80.22320037851144,-80.22320037851144,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-69.92673666985773,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-93.9518186567164,-100.81612779581887,-80.22320037851144,-80.22320037851144,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-69.92673666985773,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-93.9518186567164,-100.81612779581887,-74.50294276259271,-80.22320037851144,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-69.92673666985773,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-93.9518186567164,-100.81612779581887,-74.50294276259271,-80.22320037851144,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-72.21483971622521,-68.78268514667398,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-95.09587017990015,-91.6637156103489,-87.08750951761392,-93.9518186567164,-74.50294276259271,-80.22320037851144,-100.81612779581887,-100.81612779581887,-92.80776713353265,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-64.20647905393899,-68.78268514667398,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-95.09587017990015,-91.6637156103489,-87.08750951761392,-93.9518186567164,-74.50294276259271,-83.65535494806268,-100.81612779581887,-100.81612779581887,-90.51966408716515,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-64.20647905393899,-68.78268514667398,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-95.09587017990015,-91.6637156103489,-87.08750951761392,-93.9518186567164,-74.50294276259271,-83.65535494806268,-100.81612779581887,-100.81612779581887,-90.51966408716515,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-66.49458210030649,-68.78268514667398,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-95.09587017990015,-91.6637156103489,-87.08750951761392,-93.9518186567164,-74.50294276259271,-83.65535494806268,-100.81612779581887,-100.81612779581887,-90.51966408716515,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-66.49458210030649,-71.07078819304148,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-91.6637156103489,-87.08750951761392,-100.81612779581887,-85.94345799443018,-83.65535494806268,-100.81612779581887,-100.81612779581887,-100.81612779581887,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-66.49458210030649,-71.07078819304148,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-91.6637156103489,-87.08750951761392,-100.81612779581887,-100.81612779581887,-83.65535494806268,-100.81612779581887,-100.81612779581887,-100.81612779581887,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-66.49458210030649,-73.35889123940896,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-91.6637156103489,-100.81612779581887,-100.81612779581887,-100.81612779581887,-83.65535494806268,-100.81612779581887,-100.81612779581887,-100.81612779581887,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-66.49458210030649,-73.35889123940896,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-85.94345799443018,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-66.49458210030649,-73.35889123940896,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-65.35053057712274,-73.35889123940896,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-65.35053057712274,-63.06242753075526,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-91.6637156103489,-91.6637156103489,-88.23156104079766,-85.94345799443018,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-90.51966408716515,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-63.06242753075526,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-91.6637156103489,-91.6637156103489,-88.23156104079766,-85.94345799443018,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-90.51966408716515,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-63.06242753075526,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-91.6637156103489,-91.6637156103489,-88.23156104079766,-85.94345799443018,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-90.51966408716515,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-72.21483971622521,-63.06242753075526,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-91.6637156103489,-91.6637156103489,-88.23156104079766,-85.94345799443018,-77.93509733214395,-79.0791488553277,-100.81612779581887,-100.81612779581887,-93.9518186567164,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-71.07078819304148,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-91.6637156103489,-91.6637156103489,-88.23156104079766,-85.94345799443018,-77.93509733214395,-79.0791488553277,-100.81612779581887,-100.81612779581887,-92.80776713353265,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-71.07078819304148,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-91.6637156103489,-91.6637156103489,-85.94345799443018,-100.81612779581887,-77.93509733214395,-79.0791488553277,-100.81612779581887,-100.81612779581887,-92.80776713353265,-90.51966408716515,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-71.07078819304148,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-91.6637156103489,-85.94345799443018,-100.81612779581887,-77.93509733214395,-79.0791488553277,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-71.07078819304148,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-91.6637156103489,-85.94345799443018,-100.81612779581887,-77.93509733214395,-79.0791488553277,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-67.63863362349024,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-91.6637156103489,-85.94345799443018,-100.81612779581887,-88.23156104079766,-79.0791488553277,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-67.63863362349024,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-85.94345799443018,-100.81612779581887,-88.23156104079766,-79.0791488553277,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-69.92673666985773,-67.63863362349024,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-91.6637156103489,-85.94345799443018,-85.94345799443018,-89.3756125639814,-79.0791488553277,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-67.63863362349024,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-82.51130342487893,-85.94345799443018,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-81.36725190169518,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-82.51130342487893,-85.94345799443018,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-88.23156104079766,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-81.36725190169518,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-82.51130342487893,-81.36725190169518,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-88.23156104079766,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-81.36725190169518,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-82.51130342487893,-81.36725190169518,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-88.23156104079766,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-81.36725190169518,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-82.51130342487893,-81.36725190169518,-84.79940647124643,-85.94345799443018,-100.81612779581887,-100.81612779581887,-88.23156104079766,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-81.36725190169518,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-82.51130342487893,-81.36725190169518,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-88.23156104079766,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-73.35889123940896,-81.36725190169518,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-89.3756125639814,-81.36725190169518,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-88.23156104079766,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-100.81612779581887,-81.36725190169518,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-90.51966408716515,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-92.80776713353265,-89.3756125639814,-90.51966408716515,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-93.9518186567164,-100.81612779581887,-85.94345799443018,-87.08750951761392,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-92.80776713353265,-100.81612779581887,-85.94345799443018,-87.08750951761392,-85.94345799443018,-85.94345799443018,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
'PL1.MC',-100.81612779581887,-92.80776713353265,-100.81612779581887,-85.94345799443018,-87.08750951761392,-80.22320037851144,-85.94345799443018,-100.81612779581887,-100.81612779581887,-92.80776713353265,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887,-71.07078819304148,-61.91837600757151,-100.81612779581887,-100.81612779581887,-100.81612779581887,-100.81612779581887
