@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-73.21729619213255,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-81.62766061493487,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.89936907669302,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-81.62766061493487,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-74.05833263441278,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.67387926861625,-86.67387926861625,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-70.69418686529187,-70.69418686529187,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-83.30973349949532,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.4224784035337,-78.26351484581394,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-82.4686970572151,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.37625974985232,-73.21729619213255,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.51491571089647,-86.67387926861625,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-84.99180638405578,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.83284282633602,-86.67387926861625,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.4224784035337,-77.4224784035337,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.19698859545694,-81.62766061493487,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.37625974985232,-70.69418686529187,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-83.30973349949532,-83.30973349949532,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.30973349949532,-88.3559521531767,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-71.5352233075721,-71.5352233075721,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.26351484581394,-79.10455128809417,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-72.37625974985232,-72.37625974985232,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.10455128809417,-79.9455877303744,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-71.5352233075721,-71.5352233075721,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.15076994177555,-79.9455877303744,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-64.80693176933025,-65.64796821161048,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-81.62766061493487,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-72.37625974985232,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-81.62766061493487,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-69.0121139807314,-69.0121139807314,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-80.78662417265463,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-74.89936907669302,-73.21729619213255,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.30973349949532,-83.30973349949532,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-65.64796821161048,-65.64796821161048,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.58144196125347,-76.58144196125347,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-63.96589532705002,-63.96589532705002,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-76.58144196125347,-77.4224784035337,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.83284282633602,-85.83284282633602,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-70.69418686529187,-69.85315042301164,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-80.78662417265463,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-73.21729619213255,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.67387926861625,-86.67387926861625,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.89936907669302,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.78662417265463,-79.9455877303744,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-65.64796821161048,-67.33004109617093,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.10455128809417,-79.10455128809417,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-66.4890046538907,-66.4890046538907,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.67387926861625,-85.83284282633602,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.0121139807314,-69.85315042301164,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.4686970572151,-83.30973349949532,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-68.17107753845117,-68.17107753845117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.83284282633602,-84.99180638405578,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-70.69418686529187,-70.69418686529187,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.83284282633602,-84.99180638405578,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.0121139807314,-69.0121139807314,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3559521531767,-88.3559521531767,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-72.37625974985232,-71.5352233075721,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-64.80693176933025,-65.64796821161048,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.30973349949532,-82.4686970572151,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-71.5352233075721,-72.37625974985232,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.67387926861625,-85.83284282633602,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.74040551897325,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.67387926861625,-86.67387926861625,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-74.05833263441278,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.8790614800174,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.4224784035337,-77.4224784035337,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-73.21729619213255,-74.05833263441278,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-85.83284282633602,-86.67387926861625,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.74040551897325,-75.74040551897325,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-69.85315042301164,-70.69418686529187,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.89936907669302,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-71.5352233075721,-72.37625974985232,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.78662417265463,-80.78662417265463,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-78.26351484581394,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.51491571089647,-85.83284282633602,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-74.05833263441278,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.99180638405578,-84.99180638405578,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.89936907669302,-74.89936907669302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.99180638405578,-85.83284282633602,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-71.5352233075721,-72.37625974985232,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.30973349949532,-86.67387926861625,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.05833263441278,-74.05833263441278,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.67387926861625,-78.26351484581394,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-68.17107753845117,-67.33004109617093,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.26351484581394,-84.99180638405578,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.58144196125347,-76.58144196125347,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.15076994177555,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-75.74040551897325,-76.58144196125347,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.58144196125347,-77.4224784035337,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-83.30973349949532,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-76.58144196125347,-76.58144196125347,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-75.74040551897325,-75.74040551897325,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-84.99180638405578,-84.15076994177555,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-81.62766061493487,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.78662417265463,-80.78662417265463,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-78.26351484581394,-78.26351484581394,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-79.10455128809417,-79.10455128809417,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.78662417265463,-80.78662417265463,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.62766061493487,-81.62766061493487,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
