@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.83980470776531,-74.1121446466523,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.11640531889532,-81.38874525778232,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-75.56746476887831,-75.56746476887831,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.11640531889532,-81.38874525778232,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.83980470776531,-74.83980470776531,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.75470562446034,-85.75470562446034,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.9291644633133,-71.9291644633133,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.11640531889532,-82.84406538000833,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.75044495221732,-78.47810501333032,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.11640531889532,-82.11640531889532,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.3844845855393,-74.1121446466523,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.48236568557334,-85.75470562446034,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-82.11640531889532,-84.29938550223434,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.02704556334734,-85.75470562446034,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.75044495221732,-77.75044495221732,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.93768580779934,-81.38874525778232,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.83980470776531,-75.56746476887831,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.38874525778232,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.3844845855393,-71.9291644633133,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
