@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 12',-100.0,-96.8929353448589,-100.0,-85.68102267132375,-95.77174407750537,-95.77174407750537,-93.52936154279834,-100.0,-100.0,-94.65055281015186,-94.65055281015186,-100.0,-100.0,-100.0,-69.98434492837453,-80.07506633455615,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-96.8929353448589,-100.0,-85.68102267132375,-95.77174407750537,-95.77174407750537,-93.52936154279834,-100.0,-100.0,-94.65055281015186,-94.65055281015186,-100.0,-100.0,-100.0,-69.98434492837453,-80.07506633455615,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-85.68102267132375,-95.77174407750537,-95.77174407750537,-93.52936154279834,-100.0,-100.0,-94.65055281015186,-94.65055281015186,-100.0,-100.0,-100.0,-69.98434492837453,-80.07506633455615,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-85.68102267132375,-95.77174407750537,-82.31744886926319,-82.31744886926319,-100.0,-100.0,-94.65055281015186,-94.65055281015186,-100.0,-100.0,-100.0,-71.10553619572804,-72.22672746308156,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-85.68102267132375,-95.77174407750537,-82.31744886926319,-82.31744886926319,-100.0,-100.0,-94.65055281015186,-94.65055281015186,-100.0,-100.0,-100.0,-71.10553619572804,-72.22672746308156,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-95.77174407750537,-100.0,-82.31744886926319,-82.31744886926319,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.34791873043507,-72.22672746308156,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-95.77174407750537,-100.0,-82.31744886926319,-82.31744886926319,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.22672746308156,-72.22672746308156,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-95.77174407750537,-100.0,-82.31744886926319,-82.31744886926319,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.22672746308156,-72.22672746308156,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-95.77174407750537,-100.0,-76.71149253249561,-82.31744886926319,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.22672746308156,-72.22672746308156,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-95.77174407750537,-100.0,-76.71149253249561,-82.31744886926319,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.46910999778858,-71.10553619572804,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-96.8929353448589,-93.52936154279834,-89.04459647338429,-95.77174407750537,-76.71149253249561,-82.31744886926319,-100.0,-100.0,-94.65055281015186,-94.65055281015186,-100.0,-100.0,-100.0,-66.62077112631398,-71.10553619572804,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-96.8929353448589,-93.52936154279834,-89.04459647338429,-95.77174407750537,-76.71149253249561,-85.68102267132375,-100.0,-100.0,-92.40817027544483,-94.65055281015186,-100.0,-100.0,-100.0,-66.62077112631398,-71.10553619572804,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-96.8929353448589,-93.52936154279834,-89.04459647338429,-95.77174407750537,-76.71149253249561,-85.68102267132375,-100.0,-100.0,-92.40817027544483,-94.65055281015186,-100.0,-100.0,-100.0,-68.863153661021,-71.10553619572804,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-96.8929353448589,-93.52936154279834,-89.04459647338429,-95.77174407750537,-76.71149253249561,-85.68102267132375,-100.0,-100.0,-92.40817027544483,-94.65055281015186,-100.0,-100.0,-100.0,-68.863153661021,-73.34791873043507,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-93.52936154279834,-89.04459647338429,-100.0,-87.92340520603076,-85.68102267132375,-100.0,-100.0,-100.0,-92.40817027544483,-100.0,-100.0,-100.0,-68.863153661021,-73.34791873043507,-100.0,-100.0,-100.0,-100.0
'MP 13',-100.0,-100.0,-93.52936154279834,-89.04459647338429,-100.0,-100.0,-85.68102267132375,-100.0,-100.0,-100.0,-92.40817027544483,-100.0,-100.0,-100.0,-68.863153661021,-75.5903012651421,-100.0,-100.0,-100.0,-100.0
