@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-93.24301598009887,-100.0,-100.0,-100.0,-71.497281254546,-70.62745186552388,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-88.02403964596618,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.97659881063446,-75.84642819965657,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.15421025694407,-88.8938690349883,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.97659881063446,-74.10676942161234,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.28438086792195,-86.28438086792195,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.497281254546,-67.14813430943542,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.67489270085561,-84.54472208987772,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-67.14813430943542,-67.14813430943542,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.93523392281138,-81.93523392281138,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-70.62745186552388,-69.75762247650177,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.15421025694407,-85.41455147889984,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-70.62745186552388,-70.62745186552388,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.15421025694407,-87.15421025694407,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-81.06540453378926,-81.06540453378926,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.15421025694407,-88.02403964596618,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-80.19557514476715,-81.06540453378926,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.28438086792195,-87.15421025694407,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.23694003259023,-74.97659881063446,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-87.15421025694407,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.02403964596618,-87.15421025694407,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-87.15421025694407,-85.41455147889984,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-89.76369842401041,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-76.71625758867869,-76.71625758867869,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-88.8938690349883,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-77.5860869777008,-78.45591636672292,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.15421025694407,-87.15421025694407,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-74.97659881063446,-74.97659881063446,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.28438086792195,-88.02403964596618,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-88.02403964596618,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.02403964596618,-87.15421025694407,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-85.41455147889984,-84.54472208987772,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-89.76369842401041,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-76.71625758867869,-76.71625758867869,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.67489270085561,-84.54472208987772,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-77.5860869777008,-76.71625758867869,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.8938690349883,-100.0,-100.0,-100.0,-100.0
