@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-73.40254556649695,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-80.51736416420154,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.82550928603787,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-80.51736416420154,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-74.11402742626741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.78625532282429,-84.78625532282429,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.26809998718558,-71.26809998718558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-81.94032788374246,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-76.95995486534925,-77.6714367251197,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-81.228846023972,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.6910637067265,-73.40254556649695,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.49773718259475,-84.78625532282429,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-83.36329160328337,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.07477346305383,-84.78625532282429,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-76.95995486534925,-76.95995486534925,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.92070090213568,-80.51736416420154,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.51736416420154,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.6910637067265,-71.26809998718558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-81.94032788374246,-81.94032788374246,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.94032788374246,-86.20921904236522,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-71.97958184695604,-71.97958184695604,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.6714367251197,-78.38291858489016,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-72.6910637067265,-72.6910637067265,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.38291858489016,-79.09440044466062,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-71.97958184695604,-71.97958184695604,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.65180974351291,-79.09440044466062,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-66.28772696879237,-66.99920882856283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.51736416420154,-80.51736416420154,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-72.6910637067265,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-80.51736416420154,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-69.84513626764466,-69.84513626764466,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.51736416420154,-79.80588230443108,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-74.82550928603787,-73.40254556649695,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.94032788374246,-81.94032788374246,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-66.99920882856283,-66.99920882856283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.24847300557879,-76.24847300557879,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-65.57624510902191,-65.57624510902191,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-76.24847300557879,-76.95995486534925,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.07477346305383,-84.07477346305383,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-71.26809998718558,-70.55661812741512,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.51736416420154,-79.80588230443108,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-73.40254556649695,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.78625532282429,-84.78625532282429,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.82550928603787,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.80588230443108,-79.09440044466062,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-66.99920882856283,-68.42217254810375,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.38291858489016,-78.38291858489016,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-67.71069068833329,-67.71069068833329,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.78625532282429,-84.07477346305383,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.84513626764466,-70.55661812741512,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.228846023972,-81.94032788374246,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.1336544078742,-69.1336544078742,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.07477346305383,-83.36329160328337,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-71.26809998718558,-71.26809998718558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.07477346305383,-83.36329160328337,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.84513626764466,-69.84513626764466,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.20921904236522,-86.20921904236522,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-72.6910637067265,-71.97958184695604,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-66.28772696879237,-66.99920882856283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.94032788374246,-81.228846023972,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-71.97958184695604,-72.6910637067265,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.78625532282429,-84.07477346305383,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.53699114580833,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.78625532282429,-84.78625532282429,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-74.11402742626741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3436646216766,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-76.95995486534925,-76.95995486534925,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-73.40254556649695,-74.11402742626741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-84.07477346305383,-84.78625532282429,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.53699114580833,-75.53699114580833,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-70.55661812741512,-71.26809998718558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.82550928603787,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-71.97958184695604,-72.6910637067265,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.80588230443108,-79.80588230443108,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-77.6714367251197,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.49773718259475,-84.07477346305383,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-74.11402742626741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.36329160328337,-83.36329160328337,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.82550928603787,-74.82550928603787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.36329160328337,-84.07477346305383,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-71.97958184695604,-72.6910637067265,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.94032788374246,-84.78625532282429,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.11402742626741,-74.11402742626741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.78625532282429,-77.6714367251197,-100.0,-100.0,-100.0,-100.0
