@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.49958706213553,-71.69998536574687,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.49560402602208,-79.69600232963343,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-73.29918875852418,-73.29918875852418,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.49560402602208,-79.69600232963343,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.49958706213553,-72.49958706213553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.49361250796535,-84.49361250796535,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-69.30118027658091,-69.30118027658091,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.49560402602208,-81.29520572241073,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-75.69799384769016,-76.4975955440788,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.49560402602208,-80.49560402602208,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-70.90038366935822,-71.69998536574687,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.29321420435402,-84.49361250796535,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-80.49560402602208,-82.89440911518804,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.6940108115767,-84.49361250796535,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-75.69799384769016,-75.69799384769016,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.89241759713131,-79.69600232963343,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.49958706213553,-73.29918875852418,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.69600232963343,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-70.90038366935822,-69.30118027658091,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
