@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 12',-100.0,-97.41641670503107,-100.0,-84.24377996579476,-96.09915303110743,-96.09915303110743,-93.46462568326018,-100.0,-100.0,-94.7818893571838,-94.7818893571838,-100.0,-100.0,-100.0,-65.80208853086391,-77.6574615961766,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-97.41641670503107,-100.0,-84.24377996579476,-96.09915303110743,-96.09915303110743,-93.46462568326018,-100.0,-100.0,-94.7818893571838,-94.7818893571838,-100.0,-100.0,-100.0,-65.80208853086391,-77.6574615961766,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.24377996579476,-96.09915303110743,-96.09915303110743,-93.46462568326018,-100.0,-100.0,-94.7818893571838,-94.7818893571838,-100.0,-100.0,-100.0,-65.80208853086391,-77.6574615961766,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.24377996579476,-96.09915303110743,-80.29198894402386,-80.29198894402386,-100.0,-100.0,-94.7818893571838,-94.7818893571838,-100.0,-100.0,-100.0,-67.11935220478755,-68.43661587871118,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-84.24377996579476,-96.09915303110743,-80.29198894402386,-80.29198894402386,-100.0,-100.0,-94.7818893571838,-94.7818893571838,-100.0,-100.0,-100.0,-67.11935220478755,-68.43661587871118,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-96.09915303110743,-100.0,-80.29198894402386,-80.29198894402386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.7538795526348,-68.43661587871118,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-96.09915303110743,-100.0,-80.29198894402386,-80.29198894402386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.43661587871118,-68.43661587871118,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-96.09915303110743,-100.0,-80.29198894402386,-80.29198894402386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.43661587871118,-68.43661587871118,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-96.09915303110743,-100.0,-73.7056705744057,-80.29198894402386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.43661587871118,-68.43661587871118,-100.0,-100.0,-100.0,-100.0
'MP 12',-100.0,-100.0,-100.0,-96.09915303110743,-100.0,-73.7056705744057,-80.29198894402386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.07114322655843,-67.11935220478755,-100.0,-100.0,-100.0,-100.0
