@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-94.73793115941744,-100.0,-100.0,-100.0,-72.27429980994134,-71.37575455596229,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.24520488952223,-89.34665963554318,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-75.86848082585752,-76.76702607983655,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.44811438156414,-90.24520488952223,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-75.86848082585752,-74.96993557187847,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.54956912758509,-87.54956912758509,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-72.27429980994134,-67.78157354004611,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.85393336564796,-85.752478619627,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-67.78157354004611,-67.78157354004611,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.05684285768987,-83.05684285768987,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.37575455596229,-70.47720930198324,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.44811438156414,-86.65102387360605,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.37575455596229,-71.37575455596229,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.44811438156414,-88.44811438156414,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-82.15829760371082,-82.15829760371082,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.44811438156414,-89.34665963554318,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-81.25975234973178,-82.15829760371082,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.54956912758509,-88.44811438156414,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.07139031789943,-75.86848082585752,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
