@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  0',-100.0,-92.84782528997775,-100.0,-100.0,-100.0,-74.93184811703576,-74.21520903011807,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-88.54799076847166,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.79840446470646,-78.51504355162416,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.831351681554,-89.26462985538934,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-77.79840446470646,-77.0817653777888,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.1147125946363,-87.1147125946363,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.93184811703576,-71.34865268244735,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.96479533388327,-85.68143442080094,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-71.34865268244735,-71.34865268244735,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.53151716004791,-83.53151716004791,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.21520903011807,-73.4985699432004,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.831351681554,-86.39807350771864,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-74.21520903011807,-74.21520903011807,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.831351681554,-87.831351681554,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-82.81487807313023,-82.81487807313023,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.831351681554,-88.54799076847166,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-82.09823898621255,-82.81487807313023,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.1147125946363,-87.831351681554,-100.0,-100.0,-100.0,-100.0
'MP  0',-100.0,-100.0,-100.0,-100.0,-100.0,-76.36512629087112,-77.79840446470646,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-87.831351681554,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.54799076847166,-87.831351681554,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-87.831351681554,-86.39807350771864,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-89.98126894230703,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-79.23168263854183,-79.23168263854183,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-89.26462985538934,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-79.94832172545952,-80.66496081237719,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.831351681554,-87.831351681554,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-77.79840446470646,-77.79840446470646,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.1147125946363,-88.54799076847166,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-88.54799076847166,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.54799076847166,-87.831351681554,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-86.39807350771864,-85.68143442080094,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-89.98126894230703,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-79.23168263854183,-79.23168263854183,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.96479533388327,-85.68143442080094,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-79.94832172545952,-79.23168263854183,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-100.0,-100.0,-100.0,-100.0
'MP  1',-100.0,-100.0,-100.0,-100.0,-100.0,-77.79840446470646,-78.51504355162416,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-80.66496081237719,-79.94832172545952,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.41454711614239,-90.6979080292247,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-82.09823898621255,-82.81487807313023,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.26462985538934,-89.98126894230703,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-80.66496081237719,-80.66496081237719,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.1147125946363,-87.1147125946363,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-75.64848720395344,-75.64848720395344,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.24815624696559,-84.96479533388327,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-84.96479533388327,-83.53151716004791,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6979080292247,-89.98126894230703,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-84.24815624696559,-84.24815624696559,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.1147125946363,-87.1147125946363,-100.0,-100.0,-100.0,-100.0
