@relation DesireHD_20_07

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
'MP  0',L2.MC,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-100,-100,-100,-100,-89,-88,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-83,-86,-100,-100,-100,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-91,-82,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-73,-74,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
'MP  0',L2.MC,-100,-100,-100,-100,-100,-71,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-84,-90,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100,-85,-80,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-62,-63,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-73,-71,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-67,-67,-100,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-74,-72,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100
'MP  1',L2.MC,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-69,-68,-100,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-63,-65,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-67,-67,-100,-100,-100,-100,-100,-100,-100,-90,-90,-100,-100,-100,-100
'MP  2',L2.MC,-100,-100,-100,-100,-100,-71,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
'MP  3',L2.MC,-100,-100,-100,-100,-100,-62,-63,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100
'MP  3',L2.MC,-100,-100,-100,-100,-100,-70,-71,-100,-100,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100
'MP  3',L2.MC,-100,-100,-100,-100,-100,-75,-74,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100
'MP  3',L2.MC,-100,-100,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100
