@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
'MP  0',-500,-500,-500,-500,-500,-73,-72,-500,-500,-500,-500,-500,-500,-500,-83,-82,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-74,-74,-500,-500,-500,-500,-500,-500,-500,-83,-82,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-73,-73,-500,-500,-500,-500,-500,-500,-500,-88,-88,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-69,-69,-500,-500,-500,-500,-500,-500,-500,-83,-84,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-77,-78,-500,-500,-500,-500,-500,-500,-500,-83,-83,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-71,-72,-500,-500,-500,-500,-500,-500,-500,-89,-88,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-83,-86,-500,-500,-500,-500,-500,-500,-500,-87,-88,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-77,-77,-500,-500,-500,-500,-500,-500,-500,-91,-82,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-73,-74,-500,-500,-500,-500,-500,-500,-500,-82,-500,-500,-500,-500,-500
'MP  0',-500,-500,-500,-500,-500,-71,-69,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-84,-84,-500,-500,-500,-500,-500,-500,-500,-84,-90,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-70,-70,-500,-500,-500,-500,-500,-500,-500,-78,-79,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-71,-71,-500,-500,-500,-500,-500,-500,-500,-79,-80,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-70,-70,-500,-500,-500,-500,-500,-500,-500,-85,-80,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-62,-63,-500,-500,-500,-500,-500,-500,-500,-82,-82,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-73,-71,-500,-500,-500,-500,-500,-500,-500,-83,-82,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-67,-67,-500,-500,-500,-500,-500,-500,-500,-82,-81,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-74,-72,-500,-500,-500,-500,-500,-500,-500,-84,-84,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-63,-63,-500,-500,-500,-500,-500,-500,-500,-76,-76,-500,-500,-500,-500
'MP  1',-500,-500,-500,-500,-500,-61,-61,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-76,-77,-500,-500,-500,-500,-500,-500,-500,-87,-87,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-69,-68,-500,-500,-500,-500,-500,-500,-500,-82,-81,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-73,-72,-500,-500,-500,-500,-500,-500,-500,-88,-88,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-74,-74,-500,-500,-500,-500,-500,-500,-500,-81,-80,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-63,-65,-500,-500,-500,-500,-500,-500,-500,-79,-79,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-64,-64,-500,-500,-500,-500,-500,-500,-500,-88,-87,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-67,-68,-500,-500,-500,-500,-500,-500,-500,-83,-84,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-66,-66,-500,-500,-500,-500,-500,-500,-500,-87,-86,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-69,-69,-500,-500,-500,-500,-500,-500,-500,-87,-86,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-67,-67,-500,-500,-500,-500,-500,-500,-500,-90,-90,-500,-500,-500,-500
'MP  2',-500,-500,-500,-500,-500,-71,-70,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-62,-63,-500,-500,-500,-500,-500,-500,-500,-84,-83,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-70,-71,-500,-500,-500,-500,-500,-500,-500,-88,-87,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-75,-74,-500,-500,-500,-500,-500,-500,-500,-88,-88,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-73,-73,-500,-500,-500,-500,-500,-500,-500,-93,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-77,-77,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-72,-73,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-87,-88,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-75,-75,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-68,-69,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  3',-500,-500,-500,-500,-500,-74,-74,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-70,-71,-500,-500,-500,-500,-500,-500,-500,-81,-81,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-78,-74,-500,-500,-500,-500,-500,-500,-500,-89,-87,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-73,-73,-500,-500,-500,-500,-500,-500,-500,-86,-86,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-74,-74,-500,-500,-500,-500,-500,-500,-500,-86,-87,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-70,-71,-500,-500,-500,-500,-500,-500,-500,-84,-88,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-73,-73,-500,-500,-500,-500,-500,-500,-500,-88,-78,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-66,-65,-500,-500,-500,-500,-500,-500,-500,-78,-86,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-76,-76,-500,-500,-500,-500,-500,-500,-500,-85,-500,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-75,-76,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  4',-500,-500,-500,-500,-500,-76,-77,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-82,-84,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-76,-76,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-75,-75,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-86,-85,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-82,-82,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-81,-81,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-78,-78,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-79,-79,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-81,-81,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-82,-82,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-82,-84,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-76,-76,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-75,-75,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-86,-85,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-82,-82,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-81,-81,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-78,-78,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-79,-79,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-81,-81,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  5',-500,-500,-500,-500,-500,-82,-82,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
'MP  6',-500,-500,-500,-500,-500,-87,-88,-500,-500,-500,-500,-500,-500,-500,-87,-87,-500,-500,-500,-500
'MP  6',-500,-500,-500,-500,-500,-76,-74,-500,-500,-500,-500,-500,-500,-500,-87,-87,-500,-500,-500,-500
'MP  6',-500,-500,-500,-500,-500,-65,-66,-500,-500,-500,-500,-500,-500,-500,-89,-89,-500,-500,-500,-500
