@relation Nexus_21_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {PL1.MC,L1.MC,PL2.MC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
PL1.MC,-100,-92,-87,-88,-87,-78,-81,-100,-100,-96,-93,-100,-100,-100,-67,-67,-100,-100,-100,-100
PL1.MC,-100,-91,-89,-89,-90,-85,-78,-100,-100,-93,-88,-100,-100,-100,-66,-67,-100,-100,-100,-100
PL1.MC,-100,-100,-90,-83,-84,-89,-84,-100,-100,-89,-91,-100,-100,-100,-73,-73,-100,-100,-100,-100
PL1.MC,-100,-100,-88,-88,-87,-90,-91,-100,-100,-91,-93,-100,-100,-100,-80,-81,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-89,-91,-83,-89,-100,-100,-97,-92,-100,-100,-100,-73,-73,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-83,-88,-84,-83,-100,-100,-94,-92,-100,-100,-100,-74,-74,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-85,-91,-90,-84,-100,-100,-93,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-86,-86,-89,-90,-100,-100,-100,-100,-100,-100,-100,-73,-74,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-85,-91,-91,-100,-100,-100,-100,-100,-100,-100,-75,-77,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-88,-100,-90,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100
PL1.MC,-100,-89,-88,-79,-80,-88,-88,-100,-100,-90,-89,-100,-100,-93,-77,-79,-100,-100,-100,-100
PL1.MC,-100,-90,-89,-79,-79,-90,-90,-100,-100,-90,-89,-100,-100,-92,-75,-77,-100,-100,-100,-100
PL1.MC,-100,-90,-91,-82,-84,-91,-91,-100,-100,-91,-89,-100,-100,-100,-78,-78,-100,-100,-100,-100
PL1.MC,-100,-100,-91,-86,-90,-92,-92,-100,-100,-91,-94,-100,-100,-100,-83,-85,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-86,-89,-93,-86,-100,-100,-97,-94,-100,-100,-100,-74,-72,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-83,-85,-87,-89,-100,-100,-89,-96,-100,-100,-100,-71,-71,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-84,-86,-85,-91,-100,-100,-93,-89,-100,-100,-100,-73,-74,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-86,-81,-91,-88,-100,-100,-94,-93,-100,-100,-100,-76,-76,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-84,-89,-100,-100,-100,-100,-93,-100,-100,-100,-71,-73,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-69,-100,-100,-100,-100
PL1.MC,-100,-88,-87,-91,-90,-91,-91,-100,-100,-91,-94,-100,-92,-93,-78,-77,-100,-100,-100,-100
PL1.MC,-100,-86,-88,-87,-87,-89,-92,-100,-100,-91,-96,-100,-100,-100,-71,-73,-100,-100,-100,-100
PL1.MC,-100,-100,-90,-83,-82,-94,-93,-100,-100,-93,-89,-100,-100,-100,-71,-70,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-85,-89,-90,-92,-100,-100,-100,-94,-100,-100,-100,-77,-77,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-90,-82,-90,-100,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-85,-87,-90,-91,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-86,-88,-93,-93,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-85,-87,-90,-89,-100,-100,-100,-100,-100,-100,-100,-71,-70,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100
PL1.MC,-100,-93,-90,-87,-91,-92,-92,-100,-100,-94,-89,-100,-94,-92,-77,-77,-100,-100,-100,-100
PL1.MC,-100,-100,-90,-90,-89,-90,-92,-100,-100,-91,-90,-100,-93,-94,-77,-76,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-90,-89,-88,-90,-100,-100,-91,-98,-100,-94,-100,-72,-72,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-87,-91,-90,-91,-100,-100,-96,-91,-100,-100,-100,-83,-83,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-86,-86,-86,-100,-100,-91,-92,-100,-100,-100,-72,-70,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-87,-84,-86,-84,-100,-100,-94,-94,-100,-100,-100,-71,-73,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-84,-85,-92,-93,-100,-100,-93,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-92,-86,-93,-95,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-85,-86,-86,-88,-100,-100,-100,-100,-100,-100,-100,-68,-69,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-90,-86,-87,-89,-90,-100,-100,-90,-88,-100,-100,-100,-75,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-91,-89,-89,-92,-89,-100,-100,-90,-92,-100,-100,-100,-72,-72,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-88,-93,-94,-100,-100,-91,-90,-100,-100,-100,-75,-74,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-85,-89,-89,-90,-100,-100,-88,-95,-100,-100,-100,-74,-74,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-90,-90,-88,-89,-100,-100,-93,-89,-100,-100,-100,-77,-77,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-83,-85,-89,-87,-100,-100,-88,-92,-100,-100,-100,-70,-71,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-88,-87,-93,-100,-100,-88,-90,-100,-100,-100,-78,-79,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-83,-87,-92,-90,-100,-100,-90,-91,-100,-100,-100,-78,-76,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-89,-89,-89,-100,-100,-100,-92,-92,-100,-100,-100,-79,-79,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-85,-100,-100,-100,-100,-93,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-87,-93,-93,-88,-89,-100,-100,-93,-91,-100,-100,-100,-77,-77,-100,-100,-100,-100
PL1.MC,-100,-100,-94,-86,-89,-89,-91,-100,-100,-95,-92,-100,-100,-100,-75,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-91,-91,-88,-90,-89,-100,-100,-92,-90,-100,-100,-100,-73,-73,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-90,-92,-93,-100,-100,-90,-90,-100,-100,-100,-74,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-91,-93,-90,-100,-100,-89,-100,-100,-100,-100,-76,-77,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-88,-87,-90,-91,-100,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-84,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-81,-82,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-90,-86,-91,-96,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-91,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-79,-81,-100,-100,-100,-100
PL1.MC,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-85,-100,-100,-100,-100
L1.MC,-94,-89,-94,-87,-84,-89,-88,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100
L1.MC,-100,-90,-90,-84,-84,-92,-90,-100,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100
L1.MC,-100,-88,-92,-83,-83,-91,-87,-100,-100,-100,-100,-100,-100,-100,-65,-66,-100,-100,-100,-100
L1.MC,-100,-100,-91,-88,-88,-89,-91,-100,-100,-100,-100,-100,-100,-100,-57,-57,-100,-100,-100,-100
L1.MC,-100,-100,-91,-82,-83,-96,-93,-100,-100,-100,-100,-100,-100,-100,-76,-75,-100,-100,-100,-100
L1.MC,-100,-100,-100,-87,-88,-100,-90,-100,-100,-100,-100,-100,-100,-100,-61,-63,-100,-100,-100,-100
L1.MC,-100,-100,-100,-84,-84,-100,-88,-100,-100,-100,-100,-100,-100,-100,-70,-72,-100,-100,-100,-100
L1.MC,-100,-100,-100,-85,-85,-100,-92,-100,-100,-100,-100,-100,-100,-100,-59,-60,-100,-100,-100,-100
L1.MC,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100
L1.MC,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-100
L1.MC,-91,-100,-88,-84,-83,-91,-94,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100
L1.MC,-95,-100,-90,-80,-80,-91,-91,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100
L1.MC,-93,-100,-91,-80,-82,-88,-89,-100,-100,-100,-100,-100,-100,-100,-57,-56,-100,-100,-100,-100
L1.MC,-89,-100,-100,-83,-81,-86,-88,-100,-100,-100,-100,-100,-100,-100,-59,-59,-100,-100,-100,-100
L1.MC,-91,-100,-100,-89,-88,-87,-85,-100,-100,-100,-100,-100,-100,-100,-66,-65,-100,-100,-100,-100
L1.MC,-100,-100,-100,-91,-91,-88,-87,-100,-100,-100,-100,-100,-100,-100,-58,-58,-100,-100,-100,-100
L1.MC,-100,-100,-100,-90,-89,-88,-87,-100,-100,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100
L1.MC,-100,-100,-100,-86,-86,-85,-88,-100,-100,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100
L1.MC,-100,-100,-100,-79,-80,-89,-88,-100,-100,-100,-100,-100,-100,-100,-62,-63,-100,-100,-100,-100
L1.MC,-100,-100,-100,-81,-82,-100,-88,-100,-100,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100
L1.MC,-88,-92,-90,-84,-85,-87,-87,-100,-100,-100,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100
L1.MC,-88,-92,-88,-88,-90,-88,-92,-100,-100,-100,-100,-100,-100,-100,-64,-65,-100,-100,-100,-100
L1.MC,-91,-100,-90,-89,-90,-95,-86,-100,-100,-100,-100,-100,-100,-100,-76,-77,-100,-100,-100,-100
L1.MC,-90,-100,-100,-86,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-62,-63,-100,-100,-100,-100
L1.MC,-90,-100,-100,-85,-88,-86,-88,-100,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100
L1.MC,-93,-100,-100,-84,-85,-95,-91,-100,-100,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100
L1.MC,-100,-100,-100,-88,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100
L1.MC,-100,-100,-100,-87,-89,-84,-84,-100,-100,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-100
L1.MC,-100,-100,-100,-82,-83,-88,-88,-100,-100,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100
L1.MC,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-62,-100,-100,-100,-100
L1.MC,-87,-88,-90,-85,-85,-87,-87,-100,-100,-100,-100,-100,-100,-100,-68,-68,-96,-96,-100,-100
L1.MC,-87,-86,-91,-83,-82,-89,-87,-100,-100,-100,-100,-100,-100,-100,-66,-65,-100,-100,-100,-100
L1.MC,-96,-89,-87,-83,-81,-90,-91,-100,-100,-100,-100,-100,-100,-100,-63,-64,-100,-100,-100,-100
L1.MC,-86,-100,-90,-80,-81,-85,-89,-100,-100,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100
L1.MC,-94,-100,-87,-84,-87,-92,-88,-100,-100,-100,-100,-100,-100,-100,-60,-60,-100,-100,-100,-100
L1.MC,-95,-100,-89,-85,-86,-90,-92,-100,-100,-100,-100,-100,-100,-100,-67,-66,-100,-100,-100,-100
L1.MC,-94,-100,-100,-88,-89,-94,-92,-100,-100,-100,-100,-100,-100,-100,-60,-59,-100,-100,-100,-100
L1.MC,-93,-100,-100,-93,-87,-87,-92,-100,-100,-100,-100,-100,-100,-100,-67,-69,-100,-100,-100,-100
L1.MC,-100,-100,-100,-85,-85,-100,-87,-100,-100,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100
L1.MC,-100,-100,-100,-86,-91,-100,-88,-100,-100,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100
L1.MC,-100,-92,-91,-79,-79,-86,-86,-100,-100,-100,-100,-100,-100,-100,-65,-65,-93,-93,-100,-100
L1.MC,-100,-100,-100,-82,-85,-89,-90,-100,-100,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100
L1.MC,-100,-100,-100,-88,-86,-93,-91,-100,-100,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100
L1.MC,-100,-100,-100,-89,-87,-90,-89,-100,-100,-100,-100,-100,-100,-100,-62,-61,-100,-100,-100,-100
L1.MC,-100,-100,-100,-89,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-100
L1.MC,-100,-100,-100,-88,-90,-88,-92,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100
L1.MC,-100,-100,-100,-83,-82,-91,-92,-100,-100,-100,-100,-100,-100,-100,-73,-74,-100,-100,-100,-100
L1.MC,-100,-100,-100,-87,-87,-93,-91,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100
L1.MC,-100,-100,-100,-79,-79,-92,-100,-100,-100,-100,-100,-100,-100,-100,-60,-59,-100,-100,-100,-100
L1.MC,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-100
L1.MC,-92,-89,-87,-83,-83,-89,-89,-100,-100,-100,-100,-100,-100,-100,-73,-74,-100,-100,-100,-100
L1.MC,-93,-87,-100,-83,-80,-89,-89,-100,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100
L1.MC,-89,-88,-100,-85,-85,-92,-94,-100,-100,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100
L1.MC,-90,-100,-100,-83,-82,-85,-85,-100,-100,-100,-100,-100,-100,-100,-60,-60,-100,-100,-100,-100
L1.MC,-100,-100,-100,-88,-88,-92,-92,-100,-100,-100,-100,-100,-100,-100,-59,-60,-100,-100,-100,-100
L1.MC,-100,-100,-100,-90,-89,-92,-90,-100,-100,-100,-100,-100,-100,-100,-61,-62,-100,-100,-100,-100
L1.MC,-100,-100,-100,-85,-89,-91,-93,-100,-100,-100,-100,-100,-100,-100,-65,-67,-100,-100,-100,-100
L1.MC,-100,-100,-100,-82,-81,-93,-86,-100,-100,-100,-100,-100,-100,-100,-69,-68,-100,-100,-100,-100
L1.MC,-100,-100,-100,-91,-82,-86,-87,-100,-100,-100,-100,-100,-100,-100,-68,-69,-100,-100,-100,-100
L1.MC,-100,-100,-100,-82,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100
L1.MC,-90,-93,-90,-82,-83,-92,-92,-100,-100,-100,-100,-100,-100,-100,-72,-73,-93,-96,-100,-100
L1.MC,-87,-90,-90,-80,-80,-92,-91,-100,-100,-100,-100,-100,-100,-100,-71,-71,-95,-100,-100,-100
L1.MC,-100,-89,-93,-85,-83,-86,-91,-100,-100,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100
L1.MC,-100,-100,-91,-80,-79,-90,-87,-100,-100,-100,-100,-100,-100,-100,-63,-62,-100,-100,-100,-100
L1.MC,-100,-100,-89,-90,-89,-85,-89,-100,-100,-100,-100,-100,-100,-100,-63,-62,-100,-100,-100,-100
L1.MC,-100,-100,-100,-89,-87,-89,-85,-100,-100,-100,-100,-100,-100,-100,-66,-65,-100,-100,-100,-100
L1.MC,-100,-100,-100,-86,-87,-92,-89,-100,-100,-100,-100,-100,-100,-100,-63,-62,-100,-100,-100,-100
L1.MC,-100,-100,-100,-82,-83,-88,-88,-100,-100,-100,-100,-100,-100,-100,-66,-67,-100,-100,-100,-100
L1.MC,-100,-100,-100,-88,-87,-89,-92,-100,-100,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-100
L1.MC,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-66,-100,-100,-100,-100
L1.MC,-89,-85,-87,-87,-86,-91,-91,-100,-100,-100,-100,-100,-100,-100,-76,-75,-100,-100,-100,-100
L1.MC,-90,-91,-90,-79,-80,-92,-90,-100,-100,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-100
L1.MC,-86,-88,-87,-90,-93,-96,-92,-100,-100,-100,-100,-100,-100,-100,-61,-62,-100,-100,-100,-100
L1.MC,-89,-91,-86,-81,-82,-90,-91,-100,-100,-100,-100,-100,-100,-100,-57,-57,-100,-100,-100,-100
L1.MC,-93,-89,-100,-82,-82,-82,-83,-100,-100,-100,-100,-100,-100,-100,-72,-71,-100,-100,-100,-100
L1.MC,-100,-86,-100,-91,-91,-88,-86,-100,-100,-100,-100,-100,-100,-100,-58,-60,-100,-100,-100,-100
L1.MC,-100,-100,-100,-83,-83,-86,-88,-100,-100,-100,-100,-100,-100,-100,-59,-59,-100,-100,-100,-100
L1.MC,-100,-100,-100,-81,-79,-87,-88,-100,-100,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100
L1.MC,-100,-100,-100,-83,-80,-100,-85,-100,-100,-100,-100,-100,-100,-100,-63,-64,-100,-100,-100,-100
L1.MC,-100,-100,-100,-85,-85,-100,-89,-100,-100,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100
L1.MC,-91,-92,-90,-91,-81,-91,-91,-100,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100
L1.MC,-92,-85,-88,-77,-78,-85,-83,-100,-100,-100,-100,-100,-100,-100,-68,-67,-100,-100,-100,-100
L1.MC,-100,-87,-87,-78,-80,-94,-93,-100,-100,-100,-100,-100,-100,-100,-71,-73,-100,-100,-100,-100
L1.MC,-100,-88,-90,-87,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-69,-68,-100,-100,-100,-100
L1.MC,-100,-100,-88,-83,-83,-86,-85,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-100,-100
L1.MC,-100,-100,-88,-84,-83,-89,-90,-100,-100,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100
L1.MC,-100,-100,-93,-85,-87,-86,-91,-100,-100,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100
L1.MC,-100,-100,-100,-88,-89,-86,-85,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100
L1.MC,-100,-100,-100,-87,-88,-100,-87,-100,-100,-100,-100,-100,-100,-100,-64,-63,-100,-100,-100,-100
L1.MC,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-69,-100,-100,-100,-100
L1.MC,-92,-88,-87,-88,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-66,-67,-95,-95,-100,-100
L1.MC,-87,-85,-89,-88,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-64,-66,-100,-94,-100,-100
