@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
PL1.MC,?,-95,?,-85,-94,-94,-92,?,?,-93,-93,?,?,?,-71,-80,?,?,?,?
PL1.MC,?,-95,?,-85,-94,-94,-92,?,?,-93,-93,?,?,?,-71,-80,?,?,?,?
PL1.MC,?,?,?,-85,-94,-94,-92,?,?,-93,-93,?,?,?,-71,-80,?,?,?,?
PL1.MC,?,?,?,-85,-94,-82,-82,?,?,-93,-93,?,?,?,-72,-73,?,?,?,?
PL1.MC,?,?,?,-85,-94,-82,-82,?,?,-93,-93,?,?,?,-72,-73,?,?,?,?
PL1.MC,?,?,?,-94,?,-82,-82,?,?,?,?,?,?,?,-74,-73,?,?,?,?
PL1.MC,?,?,?,-94,?,-82,-82,?,?,?,?,?,?,?,-73,-73,?,?,?,?
PL1.MC,?,?,?,-94,?,-82,-82,?,?,?,?,?,?,?,-73,-73,?,?,?,?
PL1.MC,?,?,?,-94,?,-77,-82,?,?,?,?,?,?,?,-73,-73,?,?,?,?
PL1.MC,?,?,?,-94,?,-77,-82,?,?,?,?,?,?,?,-75,-72,?,?,?,?
PL1.MC,?,-95,-92,-88,-94,-77,-82,?,?,-93,-93,?,?,?,-68,-72,?,?,?,?
PL1.MC,?,-95,-92,-88,-94,-77,-85,?,?,-91,-93,?,?,?,-68,-72,?,?,?,?
PL1.MC,?,-95,-92,-88,-94,-77,-85,?,?,-91,-93,?,?,?,-70,-72,?,?,?,?
PL1.MC,?,-95,-92,-88,-94,-77,-85,?,?,-91,-93,?,?,?,-70,-74,?,?,?,?
